Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
Boss Hoss BHC-3 LS3 SS,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,6200.0 ccm (378.32 cubic inches),"V8, four-stroke",Aluminum - 6 bolt main block. Aluminium cylinders.,445.0 HP (324.8  kW)) @ 5750 RPM,,4,Injection. Mulit-port,Double Overhead Cams/Twin Cam (DOHC),Liquid,Automatic,Belt   (final drive),,,"Inverted forks, 63 mm, adjustable preload",89 mm (3.5 inches),"Dual coilover shocks, adjustable preload",330 mm (13.0 inches),Double disc. Dual 4-piston caliper,320 mm (12.6 inches),Single disc. 4-piston caliper,"483.1 kg (1,065.0 pounds)",,0.9212 HP/kg,"635 mm (25.0 inches) If adjustable, lowest setting.",114 mm (4.5 inches),1956 mm (77.0 inches),32.17 litres (8.50 US gallons),"Red, custom color",Electric,,10.7:1,,9.80 litres/100 km (10.2 km/l or 24.00 mpg),227.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,33.0°,,130/90-16 ,300/35-18 ,,,603.4 Nm (61.5 kgf-m or 445.1 ft.lbs) @ 4750 RPM,,2-speed semi-auto transmission with reverse,,2616 mm (103.0 inches),711 mm (28.0 inches),1 year unlimited miles excluding engine and drivetrain,,,,,,,2.5 inch with dual mufflers,,,,,,,,,,,,,,,,,,,,,,
KTM 690 Enduro R,2017,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",690.0 ccm (42.10 cubic inches),"Single cylinder, four-stroke",Balancer shaft,67.0 HP (48.9  kW)),102.0 x 84.5 mm (4.0 x 3.3 inches),,Injection,,Liquid,6-speed,Chain   (final drive),"APTC slipper clutch, hydraulically actuated","Chrome-moly tubular space frame, powder-coated",WP USD Ø 48 mm,250 mm (9.8 inches),WP shock absorber with Pro-Lever linkage,250 mm (9.8 inches),Single disc. Brembo twin-piston floating calliper. Optional ABS.,240 mm (9.4 inches),Single disc. Brembo single-piston floating calliper.  Optional ABS.,143.0 kg (315.3 pounds),,0.4685 HP/kg,"910 mm (35.8 inches) If adjustable, lowest setting.",280 mm (11.0 inches),1504 mm (59.2 inches),12.00 litres (3.17 US gallons),Orange/black/white,Electric,Cable-free ´ride-by-wire´ system.,,"Keihin EMS with RBW, twin ignition",,,,27.0°,,,,Wire spoked,,,Pressure circulation lubrication with two rotor pumps,5/8  x  1/4 X Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR Millona R,2017,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",Ducati 1000DS engine.,100.0 HP (73.0  kW)) @ 7600 RPM,,2,"Injection. EFI Magneti Marelli, 45mm throttle bodies.",,Air,6-speed,Chain   (final drive),,Tubular trellis in chromium molybdenum projected and developed by NCR.,"Ohlins 43 mm upside-down fork with TiN surface treatment , adjustable off-set, for radial calipers with NCR CORSE alluminum bottom bracket from billet, seted up by NCR CORSE.",,Progressive linkage with fully adjustable Ohlins monoshock with lenght adjustment. seted up by NCR CORSE.,,"Double disc. WAVE discs, 4-piston 2-pad Brembo SBK radial caliper from billet.",200 mm (7.9 inches),"Single disc. WAVE disc, 2-piston Brembo caliper from billet..",135.0 kg (297.6 pounds),,0.7407 HP/kg,,,1400 mm (55.1 inches),15.00 litres (3.96 US gallons),Carbon fiber look with transparent paint.,Electric,"Fuel tank, subframe, fearing kit, belly pan, front mud-guard, seat tail and airbox kit in carbon fiber. Bolts and fastners in Titainum. ",10.0:1,,,,,24.0°,,120/70-R17 ,190/55-R17 ,Forged Magnesium wheels. Metzeler Racetec Slick K0 tyres.,,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6400 RPM,,,,,,,,,,,,Leather seat produced by Schedoni.,2 - 1 - 2 ,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R1000,2017,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",,185.0 HP (135.0  kW)) @ 11500 RPM,74.5 x 57.3 mm (2.9 x 2.3 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,Twin-spar frame made of five cast sections,"SHOWA BPF, Inverted telescopic, coil spring, oil damped",120 mm (4.7 inches),"SHOWA rear shock, Link type, coil spring, oil damped",130 mm (5.1 inches),Double disc. Brembo. Optional ABS.,220 mm (8.7 inches),Single disc. Optional ABS.,,200.0 kg (440.9 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1485 mm (58.5 inches),19.00 litres (5.02 US gallons),Metallic Triton Blue,Electric,Push-button selection of three performance settings.,12.9:1,,,,,,,120/70-ZR17 ,190/50-ZR17 ,,,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 10000 RPM,Wet sump with oil cooler,"Chain drive, #525",,2045 mm (80.5 inches),705 mm (27.8 inches),12 month unlimited mileage limited warranty.,,,LCD,LED headlight,,Optional single seat.,4-2-1 exhaust system,,,,,,,,,,,,,,,,,,,,,,
Triumph Street Twin,2017,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",900.0 ccm (54.92 cubic inches),"Twin, four-stroke",270° crank angle,55.0 HP (40.1  kW)) @ 5900 RPM,84.6 x 80.0 mm (3.3 x 3.1 inches),4,Injection. Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),Wet. multi-plate assist,Tubular steel cradle,KYB 41mm forks. ,120 mm (4.7 inches),KYB twin shocks with adjustable preload. ,120 mm (4.7 inches),Single disc. ABS. Floating discs. Two-piston calipers. ,255 mm (10.0 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,198.0 kg (436.5 pounds),,0.2778 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,1415 mm (55.7 inches),12.11 litres (3.20 US gallons),"Black, Red, Silver, Matt Black, Jet Black",Electric,Traction control,10.6:1,,3.87 litres/100 km (25.8 km/l or 60.78 mpg),89.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,25.1°,100 mm (3.9 inches),100/90-18 ,150/70-R17 ,Cast aluminium alloy multi-spoke,,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 3230 RPM,,X ring chain,1115 mm (43.9 inches),,785 mm (30.9 inches),,,,LCD multi-functional instrument.,,,,Brushed stainless steel 2 into 2 exhaust system with twin silencers,3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,
KSR Zion 150,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,11.7 HP (8.5  kW)) @ 7500 RPM,,,Carburettor,,Liquid,Automatic,Belt   (final drive),,Steel,Telescopic fork,,Monoshock,,Single disc,,Single disc,146.0 kg (321.9 pounds),,0.0799 HP/kg,,,1415 mm (55.7 inches),8.60 litres (2.27 US gallons),"White, silver, black",Electric,Sold in Greece and Italy,,,,,,,,,,,,,,CVT,1350 mm (53.1 inches),2075 mm (81.7 inches),755 mm (29.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Rocket III Touring,2017,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,2294.0 ccm (139.98 cubic inches),"In-line three, four-stroke",,148.0 HP (108.0  kW)) @ 5750 RPM,101.6 x 101.6 mm (4.0 x 4.0 inches),,Injection. Multipoint sequential electronic fuel injection with twin butterflies and progressive linkage on primary butterflies,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),Wet. multi-plate,"Tubular steel, twin spine. Twin-sided, steel swing arm.",Kayaba 43mm forks.,120 mm (4.7 inches),Kayaba chromed spring twin shocks with 5 position adjustable preload.,105 mm (4.1 inches),Double disc. Nissin 4-piston fixed calipers. ABS.,316 mm (12.4 inches),Single disc. Brembo 2-piston fixed calipers. ABS.,358.0 kg (789.3 pounds),395.0 kg (870.8 pounds),0.4134 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",,1705 mm (67.1 inches),24.00 litres (6.34 US gallons),"Phantom Black, Cranberry Red/Phantom Black",Electric,"Back rest pad. Engine protection bars.
Quick release windscreen.",8.7:1,Digital-inductive type via engine management system,8.11 litres/100 km (12.3 km/l or 29.00 mpg),188.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,32.0°,184 mm (7.2 inches),150/80-R16 ,180/70-R16 ,Cast aluminum alloy 5 spoke,,221.0 Nm (22.5 kgf-m or 163.0 ft.lbs) @ 2750 RPM,,,1185 mm (46.7 inches),2500 mm (98.4 inches),995 mm (39.2 inches),2 year warranty unlimited mileage,Panniers,,"Analogue speedometer featuring analogue fuel gauge, scroll button on handlebars, LCD trip computer and clock",,,,Stainless steel 3 into 1 into 2. large volume catalysts in front of chrome-plated exhaust,5.90 litres (6.23 US quarts),,,,,,,,,,,,,,,,,,,,,
Indian Springfield,2017,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1811.0 ccm (110.51 cubic inches),"V2, four-stroke",Thunder Stroke® 111 engine,,101.0 x 113.0 mm (4.0 x 4.4 inches),,Injection. Closed Loop Sequential Port Fuel Injection,,Air,6-speed,Belt   (final drive),Wet multi-plate,Cast Aluminum Frame with Integrated Air-Box,Telescopic forks with air adjust,119 mm (4.7 inches),Single shock,114 mm (4.5 inches),Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,376.0 kg (828.9 pounds),391.0 kg (862.0 pounds),,"660 mm (26.0 inches) If adjustable, lowest setting.",142 mm (5.6 inches),1701 mm (67.0 inches),20.80 litres (5.50 US gallons),"Black, Red, Blue/Silver, Burgundy/Gray",Electric,Windscreen. Cruise Control.,9.5:1,,,,,25.0°,133 mm (5.2 inches),130/90-B16 ,180/60-B16 ,Cast aluminium wheels,,161.6 Nm (16.5 kgf-m or 119.2 ft.lbs) @ 3000 RPM,,,1442 mm (56.8 inches),2583 mm (101.7 inches),990 mm (39.0 inches),2 years,Hard saddle bags.,,Tank Mounted Electronic Speedometer with Odometer; Dual Tripmeters; Digital Tachometer; Ambient Air Temperature; Fuel Range; Average Fuel Economy; Battery Voltage; Gear Position Display;,"Tear drop head lamp, spot lights, fender light",,Dual leather seat,Split dual exhaust with cross-over,,,,,,,,,,,,,,,,,,,,,,
Norton Dominator,2017,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,961.0 ccm (58.64 cubic inches),"Twin, four-stroke",Black engine,80.0 HP (58.4  kW)) @ 6500 RPM,88.0 x 79.0 mm (3.5 x 3.1 inches),2,Injection,,Oil & air,5-speed,Chain   (final drive),Wet multi-plate,Steel tubular with integral oil tank.,43mm Ohlins UPD,115 mm (4.5 inches),Ohlins TTX 36 monoshock,100 mm (3.9 inches),"Double disc. Brembo system, twin semi-floating hi carbon stainless steel discs, Brembo 4 piston “Gold Line” axial callipers",220 mm (8.7 inches),"Single disc. Brembo system, 2  piston calliper",188.0 kg (414.5 pounds),,0.4255 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",,1420 mm (55.9 inches),17.00 litres (4.49 US gallons),"Titanium grey
",Electric,,10.0:1,Digital,,,3 way catalytic converter.,24.5°,99 mm (3.9 inches),120/70-17 ,180/55-17 ,"Black rims, spoked",,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 5200 RPM,Dry sump,Constant mesh,,,,,,,Analogue speedo and tachometer,,,,Stainless steel,,,,,,,,,,,,,,,,,,,,,,
Benelli TNT 899,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,898.0 ccm (54.80 cubic inches),"In-line three, four-stroke",,119.4 HP (87.2  kW)) @ 10000 RPM,88.0 x 49.2 mm (3.5 x 1.9 inches),,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),Multi-Disc Wet,Trestle steel and aluminum alloy cast frame.,Marzocchi Inverted telescopic forks,,Sachs Hydraulic Monoshock absorber,,Double disc,,Single disc,,231.0 kg (509.3 pounds),,"830 mm (32.7 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1443 mm (56.8 inches),16.00 litres (4.23 US gallons),White/red,Electric,,12.5:1,,,,,,,120/70-ZR17 ,190/50-ZR17 ,,4.00 litres (1.06 US gallons),85.6 Nm (8.7 kgf-m or 63.1 ft.lbs) @ 8000 RPM,,,,2100 mm (82.7 inches),899 mm (35.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 250F,2017,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Injection. 43 mm x 1 (Keihin) with dual injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),,"Perimeter, aluminium",48 mm inverted telescopic Separate Function front Fork (SFF) Type 2. Compression damping: 22-way. Rebound damping: 20-way. Spring preload: 40-way,310 mm (12.2 inches),"Uni-Trak. Compression damping: 19-way (low-speed), 4-turns (high-speed). Rebound damping: 22-way. Spring preload: Fully adjustable",310 mm (12.2 inches),Single disc. Petal disc with 2-piston caliper                                    ,240 mm (9.4 inches),Single disc. Petal disc with single-piston caliper                                    ,,104.5 kg (230.4 pounds),,"940 mm (37.0 inches) If adjustable, lowest setting.",330 mm (13.0 inches),1476 mm (58.1 inches),6.09 litres (1.61 US gallons),Lime Green,Kick,,13.8:1,Digital DC-CDI,,,,28.7°,127 mm (5.0 inches),80/100-21 ,100/90-19 ,,,,"Forced lubrication, semi and #8209;dry sump",,1265 mm (49.8 inches),2169 mm (85.4 inches),820 mm (32.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Symply 50,2017,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,Air,Automatic,Belt   (final drive),,,Telescopic Forks,,Unit Swingarm,,Single disc,,Expanding brake (drum brake),100.0 kg (220.5 pounds),,,,,,5.20 litres (1.37 US gallons),"Red, black, silver, white",Electric,,,,,,,,,120/70-12 ,130/70-12 ,,,,Wet Sump,CVT,1125 mm (44.3 inches),1905 mm (75.0 inches),690 mm (27.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX250R,2017,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Twin, four-stroke",,24.0 HP (17.5  kW)) @ 8500 RPM,53.5 x 55.2 mm (2.1 x 2.2 inches),2,Injection,Single Overhead Cams (SOHC),Liquid,6-speed,Chain   (final drive),,Semi double-cradle ,"Telescopic, coil spring, oil damped",,"Swingarm, coil spring, oil damped",,Single disc. Nissin,,Single disc. Nissin,,178.0 kg (392.4 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",160 mm (6.3 inches),1430 mm (56.3 inches),15.00 litres (3.96 US gallons),"Pearl Glacier White No. 2, Pearl Nebular Black",Electric,Sold in Japan.,11.5:1,"Electronic ignition, fully transistorized",2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,105 mm (4.1 inches),110/80-17 ,140/55-17 ,,,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6500 RPM,Wet sump,"Chain, Sealed O-ring typ",1110 mm (43.7 inches),2085 mm (82.1 inches),740 mm (29.1 inches),,,,,,,,,2.40 litres (2.54 US quarts),,,,,,,,,,,,,,,,,,,,,
WK Retro 125 Sport,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,7.4 HP (5.4  kW)) @ 7500 RPM,52.4 x 57.8 mm (2.1 x 2.3 inches),,Carburettor,,Air,Automatic,Belt   (final drive),CVT,,Hydraulic fork,,Dual adjustable oil shock,,Single disc,,Expanding brake (drum brake),,,,"770 mm (30.3 inches) If adjustable, lowest setting.",,1335 mm (52.6 inches),6.00 litres (1.59 US gallons),"Blue, green",Electric,,,,,,,,,120/70-12 ,130/70-12 ,,,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 5900 RPM,,,1165 mm (45.9 inches),1925 mm (75.8 inches),675 mm (26.6 inches),,Under seat storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 961 SF Mk II,2017,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,961.0 ccm (58.64 cubic inches),"Twin, four-stroke","Push-rod valve actuation, 3 bearing crank and  balancer shaft. ",80.0 HP (58.4  kW)) @ 7700 RPM,88.0 x 79.0 mm (3.5 x 3.1 inches),2,Injection,,Air,5-speed,Chain   (final drive),Wet multi-plate hydraulic lifter,Hand welded seamless tubular steel with integral oil tank,"43mm Ohlins USD - adjustable preload, compression  and  rebound damping",115 mm (4.5 inches),Ohlins twin shocks,110 mm (4.3 inches),"Double disc. Brembo system, twin semi-floating hi  carbon stainless steel discs, Brembo 4 piston “Gold Line” axial callipers",220 mm (8.7 inches),"Single disc. Brembo system, 2  piston",188.0 kg (414.5 pounds),203.0 kg (447.5 pounds),0.4255 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",,1420 mm (55.9 inches),17.00 litres (4.49 US gallons),"Black, red, white, green, grey, light blue",Electric,"Carbon front mud guard, chain guard, rear wheel hugger, rear number plate hugger, headlight mounting, front  and rear wheel.

",10.1:1,Crank fired electronic,,,Multiple 3 way catalytic converter.,24.5°,99 mm (3.9 inches),120/70-17 ,180/55-17 ,"Black rims, wire spoked",,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 6000 RPM,Dry sump,Constant mesh. Final drive 525 “O” ring chain.,,,,,,,Norton electronic analogue speedo  and  tachometer,,,Optional dual seat,Black chrome front pipes and reverse cone silencers,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,
NCR M16,2017,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",Ducati Desmo16RR engine tuned by NCR,200.0 HP (146.0  kW)) @ 7600 RPM,,,Injection. EFI,,,6-speed,Chain   (final drive),Slipper clutch,Carbon fiber frame ,"Ohlins FGR000 43 mm with adjustable off-set, tuned by NCR CORSE",,Progressive linkage with fully adjustable Ohlins TTX monoshock with length adjustment. Tuned by NCR CORSE,,"Single disc. Braketech AXIS/CMC (ceramic matrix composites) rotor , 2-piston Brembo Racing monoblock caliper ",220 mm (8.7 inches),Single disc. Disco Braketech AXIS/CMC (ceramic matrix composites) disks. 2-piston Brembo Racing monoblock caliper,145.0 kg (319.7 pounds),,1.3793 HP/kg,,,1430 mm (56.3 inches),,Black,Electric,"Fuel tank, subframe, fairing kit, front fender, seat tail/subframe and front fairing stay are completely made in carbon fiber. NCR Titanium rearset kit, NCR Titanium fuel cap, NCR Titanium clutch cover, NCR Titanium/Al 7075 clip on set, NCR triple clamps kit in aluminum from billet with special Nipploy treatment. Bolts and fastners completely produced in Titanium by Poggipolini. Adjustable traction control.",,,,,,,,120/70-R17 ,190/55-R17 ,Carbon fiber wheels. Metzeler Racetec tyres.,,,,,,,,,,,,,,Leather seat produced by Schedoni,"NCR full exhaust system in Titanium, 2 into 1, 2 into 1",,,,,,,,,,,,,,,,,,,,,,
KSR Race 50 GT,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,3.9 HP (2.8  kW)) @ 5750 RPM,,,Carburettor,,Air,Automatic,Belt   (final drive),,,Telescopic fork,,Monoshock,,Single disc,,Expanding brake (drum brake),,,,,,1280 mm (50.4 inches),5.00 litres (1.32 US gallons),"Yellow, Red, Green",Electric & kick,"Sold in Cyprus, Denmark, Greece, Malta, UK.",,,,,,,,,,,,,,CVT,1140 mm (44.9 inches),1820 mm (71.7 inches),695 mm (27.4 inches),,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,
Honda CBF1000F                                              ,2017,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,105.9 HP (77.3  kW)) @ 9000 RPM,75.0 x 56.5 mm (3.0 x 2.2 inches),4,Injection. PGM-FI electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet, multiplate with coil springs","Mono-backbone, rectangular-section steel tube",Front 41mm cartridge-type telescopic fork,120 mm (4.7 inches),Pro-Link with gas-charges HMAS damper,120 mm (4.7 inches),Double disc. Floating discs. Hydraulic. Four-piston calipers. ,240 mm (9.4 inches),Single disc. Hydraulic. Single-piston caliper. ,,242.0 kg (533.5 pounds),,"795 mm (31.3 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1480 mm (58.3 inches),20.00 litres (5.28 US gallons),"Black, Red, Silver, White",Electric,,11.2:1,Computer-controlled digital transistorized with 3-D mapping,4.53 litres/100 km (22.1 km/l or 51.93 mpg),105.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,25.0°,110 mm (4.3 inches),120/70-ZR17 ,180/55-ZR17 ,Hollow-section 6-spoke cast aluminium,,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 6500 RPM,,#530 O-ring sealed chain,,2105 mm (82.9 inches),784 mm (30.9 inches),,,,,,12V 8.6Ah battery.,,,,,,,,,,,,,,,,,,,,,,,,
