Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Torque,Compression,Valves per cylinder,Trail,Front tire,Rear tire,"Weight incl. oil, gas, etc",Overall length,Overall width,Factory warranty,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Seat,Overall height,Oil capacity,Instruments,Reserve fuel capacity,Electrical,Light,Carrying capacity,Emission details,Top speed,Alternate seat height,Modifications compared to previous model,Max RPM,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Fork tube size,Coolant
Honda CB1300 Super Bol Dor,2015,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1284.0 ccm (78.35 cubic inches),"In-line four, four-stroke",99.2 HP (72.4  kW)) @ 7000 RPM,78.0 x 67.2 mm (3.1 x 2.6 inches),Injection. PGM-FI,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),Wet multi-plate coil spring,6-speed constant mesh,Double cradle,25.0°,Telescopic,,Swing arm,,Double disc. Hydraulic,,Single disc. Hydraulic,274.0 kg (604.1 pounds),0.3622 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1520 mm (59.8 inches),21.00 litres (5.55 US gallons),Red,Electric,,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 5500 RPM,9.6:1,4,99 mm (3.9 inches),120/70-ZR17 ,180/55-ZR17 ,,2200 mm (86.6 inches),825 mm (32.5 inches),,,3.92 litres/100 km (25.5 km/l or 60.01 mpg),90.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1205 mm (47.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing GL1800,2015,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",116.7 HP (85.2  kW)) @ 5500 RPM,74.0 x 71.0 mm (2.9 x 2.8 inches),Injection. PGM-FI electronic fuel injection with automatic choke,Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,Enclosed shaft ,Twin-spar aluminium beam frame,29.2°,45mm cartridge fork with anti-dive system.,140 mm (5.5 inches),Pro-Link Pro-Arm with electronically-controlled   spring preload adjustment,105 mm (4.1 inches),"Double disc. Combined 3-piston callipers, ABS, floating rotors and sintered metal pads ",316 mm (12.4 inches),"Single disc. Combined 3-piston calliper, ABS and sintered metal pads ",,,"739 mm (29.1 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1689 mm (66.5 inches),25.00 litres (6.61 US gallons),"Metallic Black, Metallic White, Silver",Electric,"Overdrive, plus electric reverse. Audio system.",167.0 Nm (17.0 kgf-m or 123.2 ft.lbs) @ 4000 RPM,9.8:1,2,109 mm (4.3 inches),130/70-R18 ,180/60-R16 ,413.0 kg (910.5 pounds),2635 mm (103.7 inches),945 mm (37.2 inches),,,6.53 litres/100 km (15.3 km/l or 36.02 mpg),151.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Hollow-section 5-spoke cast aluminium.,,1455 mm (57.3 inches),,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Titanium,2015,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1819.1 ccm (111.00 cubic inches),"V2, four-stroke",115.8 HP (84.5  kW)),104.8 x 104.8 mm (4.1 x 4.1 inches),Carburettor. S and S Super E Carburetor,,,,,6-speed,Chain   (final drive),Hydraulic Clutch,Baker 6-Speed Left-Side Drive Transmission,BBC Titanium,30.0°,Öhlins Inverted Front End with a Gold Anodized finish,,Titanium Positive Swingarm. Race Tech  supspension.,,Single disc. 4-piston calipers,,Single disc. 4-piston caliper,258.6 kg (570.0 pounds),0.4479 HP/kg,"838 mm (33.0 inches) If adjustable, lowest setting.",,1651 mm (65.0 inches),15.90 litres (4.20 US gallons),Black,Electric,Small windscreen. 6-Speed Right-Side Drive Polished Transmission. ,166.5 Nm (17.0 kgf-m or 122.8 ft.lbs),,,,100/80-19 ,180/80-18 ,,2032 mm (80.0 inches),,1 year from Factory. 2 years in Europe.,Black Wrinkle Finnish,,,Yoshimura,Forged Billet Wheel,,,3.50 litres (3.7 US quarts),,,,,Optional saddle bags.,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF150F,2015,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,57.3 x 57.8 mm (2.3 x 2.3 inches),Carburettor. 24mm piston-valve carburetor,Single Overhead Cams (SOHC),CDI,,Air,5-speed,Chain   (final drive),,#520 O-ring-sealed chain; 13T/48T,,26.2°,35mm leading-axle Showa® fork,,Pro-Link® Showa single-shock,,Single disc,149 mm (5.9 inches),Expanding brake (drum brake),,,"827 mm (32.6 inches) If adjustable, lowest setting.",257 mm (10.1 inches),1328 mm (52.3 inches),7.19 litres (1.90 US gallons),Red,Electric,Model ID: CRF150F,,9.5:1,2,88 mm (3.5 inches),70/100-18 ,90/100-15 ,106.1 kg (233.9 pounds),,,,,,,,,,,,,1.51 litres (0.40 US gallons),,,,Meets current California Air Resources Board (CARB) and EPA off-road emissions standards.,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 796 Corse Stripe,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,803.0 ccm (49.00 cubic inches),"V2, four-stroke",87.0 HP (63.5  kW)) @ 8250 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),Injection. 45mm throttle body 45 mm with stepper motor,Desmodromic valve control,,,Air,6-speed,Chain   (final drive),APTC wet multiplate with hydraulic control,Chain; Front sprocket 15; Rear sprocket 45. Primary drive: Straight cut gears; Ratio 1.85.,"Tubular chrome moly steel trellis, casted aluminium subframe ",24.0°,43mm upside-down forks,120 mm (4.7 inches),Progressive linkage with preload and rebound Sachs adjustable monoshock,148 mm (5.8 inches),Double disc. ABS. Four-piston calipers. ,245 mm (9.6 inches),Single disc. Two-piston calipers. ,169.0 kg (372.6 pounds),0.5148 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),Red/white,Electric,,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 6250 RPM,11.0:1,2,87 mm (3.4 inches),120/60-17 ,160/60-17 ,188.0 kg (414.5 pounds),2114 mm (83.2 inches),784 mm (30.9 inches),2 years unlimited mileage,L-Twin,,,Lightweight 2-1-2 system with catalytic converter with twin lambda probes,5-spoke in light alloy,Dual seat,1179 mm (46.4 inches),,"Digital unit displaying  Speedometer, rev counter, clock, scheduled maintenance warning, oil temperature, trip fuel, air temperature, lap time, warning light for low oil pressure, fuel level, fuel reserve, neutral, turn signals, overrev, immobilizer. Ready for DDA system.",,,Chrome plated headlamp support,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
emco Classic Novantik C 2000,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,2.7 HP (2.0  kW)),,,,,,Air,,,,,,,,,,,Single disc. Hydraulic,,Expanding brake (drum brake),76.0 kg (167.6 pounds),0.0353 HP/kg,,,,,"White, black, blue",Electric,German brand. Lithium-Ionen 48V 28Ah  or 48V 56 Ah akku. Range 50 or 100 km. Charging 2 hours. 1000 charge cycles.,,,,,3.50-10 ,3.50-10 ,,,,,,,,,,2 person seat,,,,,,,Top box,No direct emissions,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,
Yamaha PW50,2015,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor. VM12,,CDI,Autolube oil injection system,Air,Automatic,Shaft drive (cardan)   (final drive),Wet centrifugal automatic clutch,,,,Telescopic fork,61 mm (2.4 inches),Unit swingarm,51 mm (2.0 inches),Expanding brake (drum brake),,Expanding brake (drum brake),,,"485 mm (19.1 inches) If adjustable, lowest setting.",104 mm (4.1 inches),856 mm (33.7 inches),2.01 litres (0.53 US gallons),Team Yamaha Blue/White,Kick,,,6.0:1,,,2.50-10 ,2.50-10 ,39.0 kg (86.0 pounds),1245 mm (49.0 inches),574 mm (22.6 inches),90 Day Limited Factory Warranty,Reed-valve inducted,,,,,Thick seat cushions the trail’s blows,714 mm (28.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Interstate ABS,2015,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1312.0 ccm (80.06 cubic inches),"V2, four-stroke",,89.5 x 104.3 mm (3.5 x 4.1 inches),"Injection. PGM-FI with automatic enrichment circuit, one 38mm throttle body",Single Overhead Cams (SOHC),"Digital with 3-D mapping, two spark plugs per cylinder",,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,33.0°,41mm fork,102 mm (4.0 inches),Single shock,99 mm (3.9 inches),Double disc. Two-piston calipers. ABS.,296 mm (11.7 inches),Single disc. Single-piston caliper. ABS.,,,"681 mm (26.8 inches) If adjustable, lowest setting.",,1786 mm (70.3 inches),16.65 litres (4.40 US gallons),Black,Electric,Model id: VT13CTA. Windscreen.,,9.2:1,3,118 mm (4.6 inches),140/80-17 ,170/80-15 ,323.0 kg (712.0 pounds),,,One year. Unlimited milage. Transferable.,,5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,Meets current EPA standards. California version meets current California Air Resources Board (CARB) standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 300R ABS,2015,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",286.0 ccm (17.45 cubic inches),"Single cylinder, four-stroke",30.4 HP (22.2  kW)) @ 8500 RPM,76.0 x 63.0 mm (3.0 x 2.5 inches),"Injection. PGM-Fi, 38mm throttle body",Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),Wet multiplate,,Diamond Steel. Swing arm: 573.6mm.,25.3°,37mm conventional fork,103 mm (4.1 inches),Pro-Link single shock with five positions of spring preload adjustability,118 mm (4.7 inches),Single disc. Hydraulic. ,220 mm (8.7 inches),Single disc. Hydraulic. ,,,"785 mm (30.9 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1380 mm (54.3 inches),13.00 litres (3.43 US gallons),"Black, Red, Pearl White/Red/Blue, Matte Black Metallic/Yellow",Electric,Model id: CBR300R.,27.0 Nm (2.8 kgf-m or 19.9 ft.lbs) @ 7250 RPM,10.7:1,4,98 mm (3.9 inches),110/70-17 ,140/70-17 ,164.0 kg (361.6 pounds),2030 mm (79.9 inches),710 mm (27.9 inches),,,3.31 litres/100 km (30.2 km/l or 71.06 mpg),76.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1127 mm (44.4 inches),1.80 litres (1.9 US quarts),,,12V-6AH battery.,,,,,,,,,,,,,,,,,,,,,,,,,
Di Blasi Express ,2015,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.9 ccm (3.04 cubic inches),"In-line four, two-stroke",1.3 HP (0.9  kW)) @ 3800 RPM,,Carburettor,,,2 cycle oil in a 50:1 ratio,Air,Automatic,Chain   (final drive),,,,,Telescopif fork,,Shock absorber,,Expanding brake (drum brake),89 mm (3.5 inches),Expanding brake (drum brake),29.0 kg (64.0 pounds),0.0448 HP/kg,"762 mm (30.0 inches) If adjustable, lowest setting.",,,2.84 litres (0.75 US gallons),"Red, yellow, blue, black, white, green",Kick,Foldable. Less than 5 cubic feet when folded. Size 29.5 x 12 x 12.5 inches. Carrying bag available.,,,,,4.00-5 ,4.00-5 ,,1270 mm (50.0 inches),965 mm (38.0 inches),Six month unlimited mileage,,1.81 litres/100 km (55.2 km/l or 129.96 mpg),42.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,584 mm (23.0 inches),,,,12V - 60W generator,"Head-, tail- and brake lights, side reflectors, front and rear turn signals",,,48.3 km/h (30.0 mph),,,,,,,,,,,,,,,,,,,,,
Yamaha V Star 1300 Deluxe,2015,Touring," 4.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1311.1 ccm (80.00 cubic inches),"V2, four-stroke",,100.0 x 83.0 mm (3.9 x 3.3 inches),Injection,Single Overhead Cams (SOHC),Transistor Controlled Ignition,,Liquid,5-speed,Belt   (final drive),Multiplate wet clutch,,Double Cradle,,41mm Telescopic fork,135 mm (5.3 inches),Single shock,109 mm (4.3 inches),Double disc. Hydraulic. ,298 mm (11.7 inches),Single disc. Hydraulic. ,,,"691 mm (27.2 inches) If adjustable, lowest setting.",,1689 mm (66.5 inches),18.55 litres (4.90 US gallons),"Rapid Red, Raven",Electric,Small windscreen.,,9.5:1,4,,130/90-M16 ,170/70-B16 ,325.2 kg (717.0 pounds),2489 mm (98.0 inches),1146 mm (45.1 inches),1 Year Limited Factory Warranty,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,7-spoke aluminum,,,,,,,,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Versys 650 ABS,2015,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,83.0 x 60.0 mm (3.3 x 2.4 inches),Injection. Digital fuel injection with two 38mm Keihin throttle bodies,Double Overhead Cams/Twin Cam (DOHC),TCBI with electronic advance,,Liquid,6-speed,Chain   (final drive),,O-Ring Chain,"Semi-double cradle, high-tensile steel",25.0°,41mm hydraulic telescopic fork with stepless adjustable rebound and preload ,150 mm (5.9 inches),Single offset laydown shock with 13-position adjustable rebound damping and adjustable spring preload ,145 mm (5.7 inches),Double disc. Two-piston calipers. ABS.,220 mm (8.7 inches),Single disc. Single-piston caliper. ABS.,,,"846 mm (33.3 inches) If adjustable, lowest setting.",,1415 mm (55.7 inches),18.93 litres (5.00 US gallons),"Candy Lime Green, Pearl Stardust White
",Electric,Small windscreen.,44.8 Nm (4.6 kgf-m or 33.0 ft.lbs) @ 6800 RPM,10.6:1,4,109 mm (4.3 inches),120/70-17 ,160/60-17 ,206.0 kg (454.2 pounds),2126 mm (83.7 inches),841 mm (33.1 inches),12 Month Limited Warranty,,,,,,,1331 mm (52.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TRX90X,2015,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,86.0 ccm (5.25 cubic inches),"Single cylinder, four-stroke",,47.0 x 49.5 mm (1.9 x 1.9 inches),Carburettor. 15mm piston-valve carburetor,Single Overhead Cams (SOHC),CDI,,Air,4-speed,Chain   (final drive),Automatic,O-ring-sealed chain,,,Independent suspension,66 mm (2.6 inches),Swingarm with single shock,66 mm (2.6 inches),Double disc,,Expanding brake (drum brake),,,"660 mm (26.0 inches) If adjustable, lowest setting.",99 mm (3.9 inches),983 mm (38.7 inches),6.43 litres (1.70 US gallons),Red,Electric,Model ID: TRX90X,,,,,20/7-8 ,19/8-8 ,118.8 kg (262.0 pounds),1488 mm (58.6 inches),894 mm (35.2 inches),"1 year. Transferable, unlimited mileage limited warranty.",,,,,,,927 mm (36.5 inches),,,1.14 litres (0.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200 Custom,2015,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1201.3 ccm (73.30 cubic inches),"V2, four-stroke",67.1 HP (48.9  kW)) @ 5750 RPM,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,Dry sump,Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,,29.9°,,,,,Single disc,,Single disc,250.8 kg (553.0 pounds),0.2673 HP/kg,"676 mm (26.6 inches) If adjustable, lowest setting.",112 mm (4.4 inches),1521 mm (59.9 inches),2.80 litres (0.74 US gallons),"Superial Blue, Mysterious Red Sunglo/Blackened Cayenne Sunglo,
Amber Whiskey, Vivid Black,
Brilliant Silver Pearl/Vivid Black",Electric,,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 3750 RPM,10.0:1,,60 mm (2.4 inches),130/90-B16 ,150/80-B16 ,259.9 kg (573.0 pounds),2220 mm (87.4 inches),,,"Air-cooled, Evolution®",4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered exhaust with slash-cut mufflers","Chrome, 5-Spoke Cast Aluminum",,,2.60 litres (2.75 US quarts),"Handlebar-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple R ABS,2015,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1050.0 ccm (64.07 cubic inches),"In-line three, four-stroke",135.0 HP (98.5  kW)) @ 9250 RPM,79.0 x 71.4 mm (3.1 x 2.8 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,X ring chain,"Aluminum beam twin-spar. Single-sided, aluminum alloy with eccentric chain adjuster swing arm.",22.8°,Öhlins 43mm NIX30 upside down forks with adjustable rebound and compression damping.,120 mm (4.7 inches),Öhlins TTX36 twin tube Monoshock with rebound and compression damping ,130 mm (5.1 inches),Double disc. Brembo 4-piston 4-pad radial calipers. ABS.,255 mm (10.0 inches),Single disc. Nissin single 2-piston sliding caliper. ABS.,186.0 kg (410.1 pounds),0.7258 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,1435 mm (56.5 inches),17.50 litres (4.62 US gallons),"Phantom Black
",Electric,,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 7750 RPM,12.0:1,4,91 mm (3.6 inches),120/70-ZR17 ,180/55-ZR17 ,212.0 kg (467.4 pounds),2100 mm (82.7 inches),795 mm (31.3 inches),2 year warranty unlimited mileage,,6.92 litres/100 km (14.5 km/l or 33.99 mpg),160.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Stainless Steel 3 into 1 into 2. twin high level stainless steel pipes.,Cast aluminium alloy multi-spoke,,1110 mm (43.7 inches),3.80 litres (4.02 US quarts),"LCD multi-functional instrument pack with digital speedometer, fuel gauge, trip computer, analogue tachometer, lap timer, programmable gear change lights, service interval announcement display, TPMS ready",,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder Classic 400,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"V2, four-stroke",33.0 HP (24.1  kW)) @ 8000 RPM,65.0 x 60.2 mm (2.6 x 2.4 inches),Injection,Single Overhead Cams (SOHC),Full transistor type,,Oil & air,5-speed,Chain   (final drive),Wet multi-plate coil spring,Constant mesh,Double cradle,33.2°,,,,,Single disc. Hydraulic,,Expanding brake (drum brake),275.0 kg (606.3 pounds),0.1200 HP/kg,"701 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1655 mm (65.2 inches),15.00 litres (3.96 US gallons),Black,Electric,Sold in Japan.,24.3 Nm (2.5 kgf-m or 17.9 ft.lbs) @ 6000 RPM,10.5:1,4,141 mm (5.6 inches),130/90-16 ,170/80-15 ,,2080 mm (81.9 inches),955 mm (37.6 inches),,,3.03 litres/100 km (33.0 km/l or 77.63 mpg),70.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Wire spoked,Dual,1105 mm (43.5 inches),3.70 litres (3.91 US quarts),Digital/analogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 1200 Sport Rosso Corsa,2015,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1151.0 ccm (70.23 cubic inches),"V2, four-stroke",105.0 HP (76.6  kW)) @ 7000 RPM,95.0 x 81.2 mm (3.7 x 3.2 inches),Injection,Overhead Valves (OHV),"Multipoint sequential electronic ignition, Magneti Marelli ",,Air,6-speed,Shaft drive (cardan)   (final drive),Single-disc with integrated anti-vibration buffer,"Compact reactive cardan shaft drive system called CA.R.C.; double joint and floating bevel gear pair, ratio 12/44 = 1 : 3.666",Tubular in high-strength steel with integrated engine,27.0°,"Fork with Ø 50mm inverted stems, fully adjustable (spring preload and hydraulic compression and rebound damping)",,"Progressive single swingarm, fully adjustable monoshock with separate gas reservoir (spring preload and hydraulic for rebound and compression).",,"Double disc. Stainless steel wave discs, radial calipers with 4 opposed pistons.",282 mm (11.1 inches),"Single disc. Single fixed stainless steel disc, floating caliper with 2 parallel pistons.",,,,,1535 mm (60.4 inches),32.00 litres (8.45 US gallons),Red/white/green,Electric,,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6750 RPM,11.0:1,,125 mm (4.9 inches),110/80-17 ,180/55-17 ,240.0 kg (529.1 pounds),2195 mm (86.4 inches),840 mm (33.1 inches),,,,,"Stainless steel, 2 into 1 type with catalytic converter, height adjustable muffler",,,1160 mm (45.7 inches),,,7.00 litres (1.85 US gallons),,,,3-way catalysed with Lambda probe.,,,,,,,,,,,,,,,,,,,,,,
Zero Engineering Type 6,2015,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1520.0 ccm (92.75 cubic inches),"V2, four-stroke",,92.0 x 114.3 mm (3.6 x 4.5 inches),Carburettor. HSR carburetor,,,,Air,6-speed,Chain   (final drive),"Baker 6 Speed, optional HD 5-speed",Open primary.,Gooseneck frame,,Zero design springer fork,,,,Single disc. Hydraulic,,Single disc. Hydraulic,227.0 kg (500.4 pounds),,"660 mm (26.0 inches) If adjustable, lowest setting.",100 mm (3.9 inches),1600 mm (63.0 inches),7.50 litres (1.98 US gallons),"Dark green, black, white",Electric,Made in Japan. Customizable.,,,,,5.00-16 ,5.00-16 ,,2300 mm (90.6 inches),720 mm (28.3 inches),,"S and S showelhead, panhead or nucklehead vintage enignes available",,,,Wire spoked,Solo seat,930 mm (36.6 inches),,Analogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
