Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
Ducati Supersport 1000 DS,2004,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 5750 RPM,10.0:1,94.0 x 71.5 mm (3.7 x 2.8 inches),Injection,Air,6-speed,24.0°,,120/70-ZR17 ,180/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,1395 mm (54.9 inches),16.00 litres (4.23 US gallons),"Metallic grey. Red wheels with metallic grey fairing.Tank: Red, yellow, metallic grey.
","The King of the class, the Supersport 1000 boasts a 992 cc Dual Spark engine and state-of-the-art suspension components making it the most advanced Supersport ever made.
Its signature Ducati trellis frame and 992 cc Dual Spark engine guarantee confidence-inspiring stability and torque-filled power.
",85.5 HP (62.4  kW)) @ 7750 RPM,2,Desmodromic valve control,Chain   (final drive),Tubular steel trellis,Showa 43 mm upside-down fully adjustable lightweight fork,120 mm (4.7 inches),"Progressive cantilever linkage with fully adjustable Öhlins monoshoshock, with lenght adjustment. Alluminium swingarm",145 mm (5.7 inches),,,4.00 litres (1.06 US gallons),,,,,1110 mm (43.7 inches),,,,,,,188.3 kg (415.1 pounds),,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 5-020-03,2004,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",346.6 ccm (21.15 cubic inches),"Single cylinder, two-stroke",28.4 Nm (2.9 kgf-m or 20.9 ft.lbs),,,Carburettor,Liquid,,,,,,,,,,,2200 mm (86.6 inches),135 mm (5.3 inches),1500 mm (59.1 inches),,Red,,32.9 HP (24.0  kW)),,,,,,,,,,810 mm (31.9 inches),,120.0 km/h (74.6 mph),,,,1400 mm (55.1 inches),,,,,,,193.0 kg (425.5 pounds),,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ 85,2004,Cross / motocross," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",,8.2:1,47.5 x 47.8 mm (1.9 x 1.9 inches),,Liquid,,,,70/100-17 ,90/100-14 ,Single disc,146 mm (5.7 inches),Single disc,66.0 kg (145.5 pounds),"864 mm (34.0 inches) If adjustable, lowest setting.",1818 mm (71.6 inches),351 mm (13.8 inches),1255 mm (49.4 inches),,Blue,,,5,Double Overhead Cams/Twin Cam (DOHC),,,Telescopic fork,275 mm (10.8 inches),Swinging arm (monocross),282 mm (11.1 inches),,758 mm (29.8 inches),,,,,,1161 mm (45.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertemati E 570 Enduro,2004,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,570.0 ccm (34.78 cubic inches),"Single cylinder, four-stroke",,,98.0 x 75.5 mm (3.9 x 3.0 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,,2180 mm (85.8 inches),,1480 mm (58.3 inches),8.00 litres (2.11 US gallons),Red/white,,,4,Single Overhead Cams (SOHC),Chain   (final drive),,WP 48 Upside down,,WP PDS,,,820 mm (32.3 inches),,,,,,930 mm (36.6 inches),,,,,,,116.0 kg (255.7 pounds),,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1300 Retro,2004,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1312.0 ccm (80.06 cubic inches),"V2, four-stroke",,9.2:1,89.5 x 104.3 mm (3.5 x 4.1 inches),,Liquid,5-speed,32.0°,,140/80-17 ,170/80-15 ,Single disc,296 mm (11.7 inches),Single disc,,"686 mm (27.0 inches) If adjustable, lowest setting.",,,1669 mm (65.7 inches),18.16 litres (4.80 US gallons),"Black, Metallic Silver, Pearl Dark Blue, Candy Red",,,3,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),,41mm fork,130 mm (5.1 inches),Dual shocks with five-position spring-preload adjustability.,94 mm (3.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTDI Softail Deuce,2004,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3500 RPM,8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Injection,Air,5-speed,32.0°,127 mm (5.0 inches),90/90-21 ,160/70-17 ,Single disc,292 mm (11.5 inches),Single disc,292.0 kg (643.7 pounds),"660 mm (26.0 inches) If adjustable, lowest setting.",2424 mm (95.4 inches),142 mm (5.6 inches),1690 mm (66.5 inches),18.90 litres (4.99 US gallons),"Vivid black, brilliant silver, sierra red, impact blue, glacier white pearl, lava red sunglo, two-tone luxury blue and impact blue, two-tone luxury teal and brilliant silver, two-tone smokey gold and vivid black
","Black powder-coated engine with chrome covers; stretched tank; chrome front forks; chrome risers with low-rise handlebars; chrome fender supports with hidden hardware; full-length chrome tank console; wire-laced front wheel, 432 mm disc rear wheel; Badlander style seat; 160mm wide rear tyre
",,2,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing EN 250 Enduro,2004,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,15.5:1,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Liquid,6-speed,,,100/90-21 ,140/80-18 ,Single disc,240 mm (9.4 inches),Single disc,,,,,,9.00 litres (2.38 US gallons),,,,,,Chain   (final drive),Cr-Mo steel,Paioli USD 46 (optional Ohlins),,Ohlins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Alp 4.0,2004,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),Carburettor,Air,6-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,133.0 kg (293.2 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),240 mm (9.4 inches),1410 mm (55.5 inches),10.50 litres (2.77 US gallons),Grey/black/orange,Suzuki engine,,4,Single Overhead Cams (SOHC),Chain   (final drive),Double craded steel frame,Hydraulic fork,220 mm (8.7 inches),Rear suspension single shock with adjustable spring,220 mm (8.7 inches),,,4.00 litres (1.06 US gallons),,,,,1090 mm (42.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim Altino 125 ES,2004,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,10.3:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Air,,,,,,Single disc,,Expanding brake (drum brake),107.0 kg (235.9 pounds),"755 mm (29.7 inches) If adjustable, lowest setting.",1984 mm (78.1 inches),165 mm (6.5 inches),1280 mm (50.4 inches),12.00 litres (3.17 US gallons),"Red, Black, Grey, Light grey",,11.6 HP (8.5  kW)),4,,,Diamond,Telescopic,,Swing arm,,0.1084 HP/kg,780 mm (30.7 inches),,106.0 km/h (65.9 mph),,,,1055 mm (41.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Yup 250,2004,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, four-stroke",21.8 Nm (2.2 kgf-m or 16.1 ft.lbs) @ 5500 RPM,,,,Liquid,,,,120/70-12 58P ,140/70-12 65P ,Single disc,,Single disc,158.0 kg (348.3 pounds),,2060 mm (81.1 inches),,,,,,19.4 HP (14.2  kW)) @ 6750 RPM,,Overhead Cams (OHC),,,,,,,0.1230 HP/kg,740 mm (29.1 inches),,,,,,1165 mm (45.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Le Mans,2004,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5400 RPM,9.8:1,92.0 x 80.0 mm (3.6 x 3.1 inches),Injection,Air,6-speed,25.0°,103 mm (4.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,282 mm (11.1 inches),Single disc,226.0 kg (498.2 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),178 mm (7.0 inches),1490 mm (58.7 inches),20.70 litres (5.47 US gallons),"Rosso race, Grigio titanium","V11 Le Mans - Brembo Gold Series brakes, 180/55 17"" rear tire, improved power and torque make this the most powerful version of this direct descendent of the original Guzzi 850 and 1000 Le Mans. The bikes that once dominated endurance racing. Available in Red, Black",89.9 HP (65.6  kW)) @ 8200 RPM,2,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Monobeam frame,"Marzocchi USD fork, 43 mm compression/extension adjustable",120 mm (4.7 inches),Cantilever swing arm with Sachs mono shock compression/extension/preload adjustable,128 mm (5.0 inches),0.3976 HP/kg,785 mm (30.9 inches),5.00 litres (1.32 US gallons),,,,,1210 mm (47.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 RS,2004,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6750 RPM,11.5:1,70.5 x 75.0 mm (2.8 x 3.0 inches),Injection,Liquid,6-speed,27.2°,124 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. 4-piston caliper,285 mm (11.2 inches),Single disc. 2-piston caliper,266.0 kg (586.4 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",2250 mm (88.6 inches),,1555 mm (61.2 inches),20.50 litres (5.42 US gallons),,,130.0 HP (94.9  kW)) @ 8750 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Shaft drive (cardan)   (final drive),"Bridging frame consisting of die-cast aluminium, engine decoupled from vibration through bearings.","BMW Motorrad Telelever; stanchion diameter 35 mm, central strut.",115 mm (4.5 inches),"Die-cast aluminium single-sided swing arm with BMW Motorrad Paralever; central spring strut, spring pre-load hydraulically adjustable to continuously variable levels by means of handwheel.",150 mm (5.9 inches),0.4887 HP/kg,850 mm (33.5 inches),4.00 litres (1.06 US gallons),235.0 km/h (146.0 mph),4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1200 mm (47.2 inches),,,,,,Electric,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTBI Softail Night Train,2004,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3500 RPM,8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,5-speed,32.0°,127 mm (5.0 inches),90/90-21 ,150/80-16 ,Single disc,292 mm (11.5 inches),Single disc,292.0 kg (643.7 pounds),"640 mm (25.2 inches) If adjustable, lowest setting.",2420 mm (95.3 inches),142 mm (5.6 inches),1695 mm (66.7 inches),18.90 litres (4.99 US gallons),"Vivid black, lava red sunglo
","Black powder-coated engine with wrinkle black and texture black covers; laced front wheel, disc rear wheel ;Badlander seat; drag-style handlebars; black tank console, rear fender supports, air cleaner and oil tank; bobtail fender; Electronic Sequential  Port Fuel Injection (ESPFI) as alternative to carburetor",,2,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 660 R,2004,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",58.4 Nm (6.0 kgf-m or 43.1 ft.lbs) @ 5250 RPM,10.0:1,100.0 x 84.0 mm (3.9 x 3.3 inches),Injection,Liquid,,,,90/90-M21 ,130/80-M17 ,Single disc,245 mm (9.6 inches),Single disc,165.0 kg (363.8 pounds),"855 mm (33.7 inches) If adjustable, lowest setting.",2240 mm (88.2 inches),200 mm (7.9 inches),1500 mm (59.1 inches),,"Racing blue, Yamaha black",,48.0 HP (35.0  kW)) @ 6000 RPM,4,,Chain   (final drive),,"Telescopic fork, diameter 43 mm",225 mm (8.9 inches),Monocross with linkage,200 mm (7.9 inches),0.2909 HP/kg,850 mm (33.5 inches),,,,,,1235 mm (48.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertemati E 450 Enduro,2004,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,450.0 ccm (27.46 cubic inches),"Single cylinder, four-stroke",,,92.0 x 67.7 mm (3.6 x 2.7 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,,2180 mm (85.8 inches),,1480 mm (58.3 inches),,Red/white,,,4,Single Overhead Cams (SOHC),Chain   (final drive),,WP 48 Upside down,,WP PDS,,,820 mm (32.3 inches),,,,,,930 mm (36.6 inches),,,,,,,116.0 kg (255.7 pounds),,,,,,,,,,,,,,,,,,,,,,,
CPI Supermoto 50,2004,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 7450 RPM,,40.0 x 39.2 mm (1.6 x 1.5 inches),,Liquid,6-speed,,,100/80-17 ,130/70-17 ,Single disc,210 mm (8.3 inches),Single disc,,,1930 mm (76.0 inches),,,8.30 litres (2.19 US gallons),Orange/black,,6.8 HP (5.0  kW)),,,Chain   (final drive),,,,,,,810 mm (31.9 inches),,,,,,1205 mm (47.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Ark 50 X Type,2004,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,Liquid,Automatic,,,130/60-13 ,140/60-13 ,Single disc,190 mm (7.5 inches),Single disc,,,,,,7.50 litres (1.98 US gallons),Red/black,,,,,,Iron,Hydraulic fork,,Hydraulic shock absorber with adjustable spring setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanuni Seyhan 250 C,2004,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 7000 RPM,9.2:1,53.0 x 53.0 mm (2.1 x 2.1 inches),,Air,,,,110/90-16 ,130/90-15 ,,,,153.0 kg (337.3 pounds),,2150 mm (84.6 inches),,,14.00 litres (3.70 US gallons),,,18.0 HP (13.1  kW)) @ 8500 RPM,,,,,Telescopic,,Hydraulic double dampers,,0.1176 HP/kg,840 mm (33.1 inches),,,,,,1075 mm (42.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda CBZ,2004,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",156.8 ccm (9.57 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Air,5-speed,,,,,Single disc,,Expanding brake (drum brake),148.0 kg (326.3 pounds),,2100 mm (82.7 inches),160 mm (6.3 inches),1335 mm (52.6 inches),12.50 litres (3.30 US gallons),,,17.2 HP (12.5  kW)) @ 8000 RPM,,Overhead Cams (OHC),Chain   (final drive),Tubular single cradle,Telescopic hydraulic fork,,Swing arm with hydraulic damper- 5-step adjustment,,0.1159 HP/kg,755 mm (29.7 inches),2.50 litres (0.66 US gallons),100.0 km/h (62.1 mph),,,,1130 mm (44.5 inches),,Electronic,Wet sump,Manual,,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 650 R,2004,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",,10.0:1,100.0 x 82.6 mm (3.9 x 3.3 inches),Carburettor,Liquid,5-speed,27.8°,111 mm (4.4 inches),80/90-21 ,110/90-18 ,Single disc,240 mm (9.4 inches),Single disc,,"935 mm (36.8 inches) If adjustable, lowest setting.",,,1481 mm (58.3 inches),9.84 litres (2.60 US gallons),Red,Model id XR650R.,,4,Single Overhead Cams (SOHC),Chain   (final drive),,46mm leading-axle Kayaba cartridge fork with compression- and rebound-damping adjustability.,284 mm (11.2 inches),"Pro-Link Kayaba single-shock with spring-preload, compression- and rebound-damping adjustability.",307 mm (12.1 inches),,,1.89 litres (0.50 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 RT,2004,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5500 RPM,11.3:1,101.0 x 70.5 mm (4.0 x 2.8 inches),Injection,Oil & air,6-speed,,,120/70-ZR17 ,170/60-ZR17 ,Double disc,276 mm (10.9 inches),Double disc,255.1 kg (562.4 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",2230 mm (87.8 inches),,1485 mm (58.5 inches),25.20 litres (6.66 US gallons),"White, red, blue black",ABS brakes,93.9 HP (68.5  kW)) @ 7250 RPM,4,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),"Three-section composite frame consisting of front and rear section, load bearing engine.","BMW Motorrad Telelever; stanchion diameter 35 mm, central strut",120 mm (4.7 inches),"Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever; spring pre-load adjustable to continuously variable levels by means of hydraulic handwheel, rebound damping adjustable",135 mm (5.3 inches),0.3680 HP/kg,898 mm (35.4 inches),4.00 litres (1.06 US gallons),200.0 km/h (124.3 mph),4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1380 mm (54.3 inches),,,,,,,279.0 kg (615.1 pounds),"845 mm (33.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille 1000 R,2004,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"Twin, four-stroke",107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 7750 RPM,11.8:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,24.8°,102 mm (4.0 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,185.0 kg (407.9 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",2035 mm (80.1 inches),,1418 mm (55.8 inches),18.00 litres (4.76 US gallons),"Lead grey/magnet grey, Aprilia black/diablo black, Fluo red/lead grey",,138.7 HP (101.3  kW)) @ 9500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Aluminium alloy,Ohlins upside-down fork,120 mm (4.7 inches),Aluminium-plate swinging for Ohlins monoshock absorber,133 mm (5.2 inches),0.7498 HP/kg,730 mm (28.7 inches),4.00 litres (1.06 US gallons),,,,,1145 mm (45.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 650 e,2004,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,11.7:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,Liquid,6-speed,,,120/60-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,112.0 kg (246.9 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",,320 mm (12.6 inches),1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Yellow/blue,,,4,Overhead Cams (OHC),Chain   (final drive),25CrMo4 tempered,WP MXMA 4860-Husaberg Supermotard,260 mm (10.2 inches),WP PDS 5018-Husaberg Supermotard,287 mm (11.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Oliver 50,2004,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 8000 RPM,,40.0 x 39.2 mm (1.6 x 1.5 inches),,Air,Automatic,,,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1839 mm (72.4 inches),,,5.20 litres (1.37 US gallons),"Blue, Yellow",,3.2 HP (2.4  kW)),,,,,,,,,,664 mm (26.1 inches),,,,,,1131 mm (44.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Caponord Rally Raid,2004,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"Twin, four-stroke",95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 6250 RPM,11.8:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,27.8°,129 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,272 mm (10.7 inches),Single disc,,"860 mm (33.9 inches) If adjustable, lowest setting.",2300 mm (90.6 inches),,1568 mm (61.7 inches),25.00 litres (6.61 US gallons),Red/grey,,98.0 HP (71.5  kW)) @ 8250 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Box section sloping twin-spar made of aluminium alloy,Marzocchi 50 mm hydraulic telescopic fork,200 mm (7.9 inches),Aluminium alloy swing-arm,200 mm (7.9 inches),,876 mm (34.5 inches),5.00 litres (1.32 US gallons),,,,,1460 mm (57.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
