Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
Kawasaki Vulcan 1700 Vaquero ABS,2020,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1700.0 ccm (103.73 cubic inches),"V2, four-stroke",,145.9 Nm (14.9 kgf-m or 107.6 ft.lbs) @ 2750 RPM,9.5:1,102.0 x 104.0 mm (4.0 x 4.1 inches),Injection. DFI with dual 42mm throttle bodies,Single Overhead Cams (SOHC),TCBI with Digital Advance,,6-speed,Belt   (final drive),,Carbon fiber-reinforced belt,,,,"Steel, double-cradle with box-section single-tube backbone",30.0°,178 mm (7.0 inches),45mm hydraulic fork,140 mm (5.5 inches),"Swingarm with twin air-assisted shocks, with 4-way rebound damping",79 mm (3.1 inches),130/90-16 ,170/70-16 ,"Double disc. ABS, dual four-piston calipers, K-ACT II.",300 mm (11.8 inches),"Single disc. ABS, twin-piston caliper, K-ACT II",,383.1 kg (844.5 pounds),"729 mm (28.7 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2510 mm (98.8 inches),970 mm (38.2 inches),145 mm (5.7 inches),1666 mm (65.6 inches),20.06 litres (5.30 US gallons),,,"Candy Imperial Blue
",Electric,Liquid,,,,,36 Month Limited Warranty,,52° V-twin ,4,,,,,Hard saddle bags,,,,,,,,,,,,,,,,,,,,,,
Atlas Honda CB125F,2020,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Overhead Valves (OHV),CDI,,5-speed,Chain   (final drive),,Roller chain final drive,,,,Diamond Type Steel,,,Telescopic Forke 103 mm Travel,,Swing Arm 76 mm Travel,,2.75-18 ,90/90-18 ,Single disc,,Expanding brake (drum brake). Non-asbestos,,,"789 mm (31.1 inches) If adjustable, lowest setting.",1095 mm (43.1 inches),2043 mm (80.4 inches),742 mm (29.2 inches),120 mm (4.7 inches),,12.30 litres (3.25 US gallons),,,"Red, black, Blue, Orange",Electric & kick,Air,122.0 kg (269.0 pounds),12 Volt battery,,,,Sold in Pakistan.,,,,,,Analogue,,,,,,,,,,,,,,,,,,,,,,,
Junak Raw 50,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",3.1 HP (2.3  kW)) @ 9500 RPM,,,,,Overhead Cams (OHC),,,,,,,,,,,,,,,,,90/90-18 ,120/80-16 ,Single disc,,Expanding brake (drum brake),,,"730 mm (28.7 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),2000 mm (78.7 inches),865 mm (34.1 inches),,,12.80 litres (3.38 US gallons),,,"Maroon, Green Matte, Graphite Matt, Black, Black Matte",Electric & kick,Liquid,112.0 kg (246.9 pounds),,45.0 km/h (28.0 mph),,,Polish Brand,,,,0.0277 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Hanway Furious 250,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.2 ccm (15.21 cubic inches),"Single cylinder, four-stroke",26.2 HP (19.1  kW)) @ 9000 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 7500 RPM,,,Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic inductive,,5-speed,Chain   (final drive),,,,,Euro 4,,,,Telescopic forks,,Single shock,,110/70-17 ,140/70-17 ,Single disc,218 mm (8.6 inches),Single disc,Cast aluminium,,"770 mm (30.3 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),2050 mm (80.7 inches),820 mm (32.3 inches),130 mm (5.1 inches),1320 mm (52.0 inches),14.00 litres (3.70 US gallons),,,"Black/red, white, blue",Electric,Liquid,122.0 kg (269.0 pounds),,,,,Chinese made bike.,,4,,0.2143 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Madison 300,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",21.5 HP (15.7  kW)) @ 7250 RPM,,,,,,ECU,,,,,,3.60 litres/100 km (27.8 km/l or 65.34 mpg),83.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic-hydraulic fork,,,,,,Single disc,,Single disc,,,,1395 mm (54.9 inches),2135 mm (84.1 inches),790 mm (31.1 inches),,,,,,Black/Red,Electric,Liquid,173.0 kg (381.4 pounds),,,,,,,,,0.1240 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R50E,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,9.5:1,36.0 x 48.6 mm (1.4 x 1.9 inches),Carburettor. Mikuni VM11,Single Overhead Cams (SOHC),CDI,,3-speed,Chain   (final drive),Automatic centrifugal clutch,,,,,Steel backbone,25.5°,33 mm (1.3 inches),Inverted telescopic fork,97 mm (3.8 inches),Single shock,71 mm (2.8 inches),2.50-10 ,2.50-10 ,Expanding brake (drum brake),80 mm (3.1 inches),Expanding brake (drum brake),,57.2 kg (126.0 pounds),"556 mm (21.9 inches) If adjustable, lowest setting.",795 mm (31.3 inches),1306 mm (51.4 inches),594 mm (23.4 inches),135 mm (5.3 inches),925 mm (36.4 inches),3.10 litres (0.82 US gallons),,,Team Yamaha Blue,Electric,Air,,,,,90 Day Limited Factory Warranty,,,2,USFS-approved spark arrestor,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 300 SCF Factory,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,303.7 ccm (18.53 cubic inches),"Single cylinder, four-stroke",,,,84.0 x 54.8 mm (3.3 x 2.2 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),Electric,,,Chain   (final drive),"Hydraulic, multidisc in oil bath",,,,,,,,KYB,,KYB Shock Absorber With hydraulic setting and spring setting specific to each model 3-way adjustment,,1.6-21 ,2.15-18 ,Single disc. Brembo,220 mm (8.7 inches),Single disc,,,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,355 mm (14.0 inches),1480 mm (58.3 inches),9.70 litres (2.56 US gallons),,,,Electric,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TRX250X,2020,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,229.0 ccm (13.97 cubic inches),"Single cylinder, four-stroke",,,12.0:1,68.5 x 62.2 mm (2.7 x 2.4 inches),Carburettor. 20mm piston-valve ,Overhead Valves (OHV),CD with electronic advance,Dry sump,5-speed,Shaft drive (cardan)   (final drive),Honda SportClutch™,Direct rear drive shaft. With reverse.,,,,,,,Independent double-wishbone,150 mm (5.9 inches),Swingarm with single shock,145 mm (5.7 inches),22/7-10 ,22/10-9 ,Double disc. Hydraulic. ,229 mm (9.0 inches),Expanding brake (drum brake). Sealed mechanical drum,Black,174.2 kg (384.0 pounds),"798 mm (31.4 inches) If adjustable, lowest setting.",1082 mm (42.6 inches),1740 mm (68.5 inches),1062 mm (41.8 inches),145 mm (5.7 inches),1125 mm (44.3 inches),9.46 litres (2.50 US gallons),2.65 litres (0.70 US gallons),,"Metallic Blue, Red",Electric,Air,,,,,One year. Transferable.,Model ID: TRX250X,Longitudinally mounted engine.,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF150R,2020,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",23.5 HP (17.1  kW)) @ 12500 RPM,14.1 Nm (1.4 kgf-m or 10.4 ft.lbs) @ 11000 RPM,11.7:1,66.0 x 43.7 mm (2.6 x 1.7 inches),Carburettor. Keihin® 32mm flat slide with Throttle Position Sensor (TPS),Single Overhead Cams (SOHC),Solid-state CD with electronic advance,,5-speed,Chain   (final drive),,#420 chain; 15T/50T,,,,"Semi-double, steel tube",27.2°,78 mm (3.1 inches),37mm fully adjustable leading-axle inverted Showa® cartridge fork,274 mm (10.8 inches),Pro-Link® fully adjustable Showa single shock,272 mm (10.7 inches),70/100-17 ,90/100-14 ,Single disc,190 mm (7.5 inches),Single disc,Aluminium rim/wire spoked,83.9 kg (185.0 pounds),"833 mm (32.8 inches) If adjustable, lowest setting.",1171 mm (46.1 inches),1900 mm (74.8 inches),770 mm (30.3 inches),302 mm (11.9 inches),1260 mm (49.6 inches),4.20 litres (1.11 US gallons),,,Red/white,Kick,Liquid,,,,,,Model ID: CRF150R.,"26mm intake valve, steel; 22.5mm exhaust valve, steel",4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju Tango 125l Scrambler ,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,54.4 x 57.8 mm (2.1 x 2.3 inches),Injection,,CDI,,5-speed,Chain   (final drive),,,,,Euro 3,Highly resistant steel perimeter. Detachable sub-chassis,,,Fork of Ø37mm.,,Mono-shock shock absorber,,100/80-17 ,130/70-17 ,Single disc,200 mm (7.9 inches),Single disc,Optional 17 inch wheels.,,"830 mm (32.7 inches) If adjustable, lowest setting.",1132 mm (44.6 inches),2040 mm (80.3 inches),785 mm (30.9 inches),,1330 mm (52.4 inches),6.30 litres (1.66 US gallons),,1.10 litres (1.16 US quarts),"Red, Black",Electric,Air,109.0 kg (240.3 pounds),,,,,Spain made bike.,,2,Silencer with protector.,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford Mact 150,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 9000 RPM,,8.4:1,,Injection. EFI,,,,Automatic,Belt   (final drive),,CVT,2.63 litres/100 km (38.0 km/l or 89.44 mpg),61.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Double periscope,,Twin shock,,110/70-12 ,110/70-12 ,Single disc,,Expanding brake (drum brake),,,,1140 mm (44.9 inches),1980 mm (78.0 inches),700 mm (27.6 inches),,1400 mm (55.1 inches),6.00 litres (1.59 US gallons),,,Silver,Electric,,117.0 kg (257.9 pounds),,,,,Scooter made in Taiwan.,,,149 c.c.,0.0769 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Junak 904,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",3.8 HP (2.8  kW)),,,,,,,,,,,,,,,,,,,,,,90/90-17 ,110/80-17 ,Single disc,,Expanding brake (drum brake),,,,1090 mm (42.9 inches),1965 mm (77.4 inches),750 mm (29.5 inches),,,15.00 litres (3.96 US gallons),,,"White/Red, White/Green, White/Blue, Black/Red, Black/Brown",Electric & kick,,117.0 kg (257.9 pounds),,45.0 km/h (28.0 mph),,,Polish Brand,,,,0.0325 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing EN 250 Fi ES,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Keihin PWK 38,,"TM Racing, ECU",3.5% oil mix,5-speed,Chain   (final drive),Multiuple-disk in oil-bath with hydaulic control,Straight – tooth gear,,,,Alluminium perimetral ,,,Kayaba USD 48mm,,TM Racing monoshock,,90/90-21 ,140/80-18 ,Single disc. Wave disk with Nissin pump and Brembo caliper,245 mm (9.6 inches),Single disc. Wave disk with Nissin pump and caliper,"Wire spoked, blue rims",,,,,,,,9.50 litres (2.51 US gallons),,,Blue/white,Kick,Liquid,,,,No lights,,Italian made bike.,V-Force Reed valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Scrambler 1200XE,2020,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1200.0 ccm (73.22 cubic inches),"Twin, four-stroke",89.0 HP (65.0  kW)) @ 7400 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3950 RPM,11.1:1,97.6 x 80.0 mm (3.8 x 3.1 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Single Overhead Cams (SOHC),Digital-inductive type via engine management system,,5-speed,Chain   (final drive),Wet. multi-plate,X ring chain,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,Tubular steel cradle,26.9°,129 mm (5.1 inches),Showa 47mm fully adjustable upside down forksl,200 mm (7.9 inches),Fully adjustable Ohlins twin shocks with piggy back reservoir,200 mm (7.9 inches),90/90-21 ,150/70-17 ,Double disc. Brembo 2-piston floating caliper,255 mm (10.0 inches),Single disc. Brembo 2-piston floating caliper ABS,Spoked wheels,,"870 mm (34.3 inches) If adjustable, lowest setting.",1205 mm (47.4 inches),,905 mm (35.6 inches),,1570 mm (61.8 inches),16.00 litres (4.23 US gallons),,4.50 litres (4.76 US quarts),"Cobalt Blue/Jet Black, Fusion White/Brooklands Green",Electric,Liquid,207.0 kg (456.4 pounds),,,,24 months unlimited milage,,,,High level stainless steel headers with twin chromed silencers,0.4300 HP/kg,,Analogue speedometer with odometer and trip information ,,,,,,,,,,,,,,,,,,,,,,,
BMW R nineT Scrambler,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",110.0 HP (80.3  kW)) @ 7775 RPM,116.0 Nm (11.8 kgf-m or 85.6 ft.lbs) @ 6000 RPM,12.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),"Injection. Electronic intake pipe injection Closed-loop 3-way catalytic converter, emission standard EU-3",Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Shaft drive (cardan)   (final drive),"Single dry plate clutch, hydraulically operated",Constant mesh,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Three-section frame consisting of one front and three rear sections, load-bearing engine-gearbox unit, removable pillion frame for single ride use",,,Telescopic forks with 43 mm fixed-tube diameter,125 mm (4.9 inches),"Cast aluminium single swinging arm with BMW Motorrad Paralever; central spring strut, spring preload steplessly adjustable by hook wrench, rebound-stage damping adjustable",140 mm (5.5 inches),120/70-R19 ,170/60-R17 ,Double disc. ABS,265 mm (10.4 inches),Single disc. ABS,Spoke cast wheels,,"820 mm (32.3 inches) If adjustable, lowest setting.",1330 mm (52.4 inches),2175 mm (85.6 inches),880 mm (34.6 inches),,1527 mm (60.1 inches),17.00 litres (4.49 US gallons),3.50 litres (0.92 US gallons),,"Black Storm Metallic/Aurum, Black Storm Metallic/Light White, Stereo Metallic Matt",Electric,Oil & air,220.0 kg (485.0 pounds),"12 V / 14 Ah, maintenance-free battery. Three-phase 600 W alternator.",200.0 km/h (124.3 mph),,,,"Radially aligned valves per cylinder, central balancer shaft",4,,0.5000 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z400,2020,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 10000 RPM,38.0 Nm (3.9 kgf-m or 28.0 ft.lbs) @ 8000 RPM,11.5:1,70.0 x 51.8 mm (2.8 x 2.0 inches),Injection. DFI® with 32mm throttle bodies,Overhead Cams (OHC),TCBI with digital advance,,6-speed,Chain   (final drive),,,,,,"Trellis, high-tensile steel",24.5°,91 mm (3.6 inches),Telescopic fork,119 mm (4.7 inches),Uni-Trak® swingarm,130 mm (5.1 inches),110/70-17M ,150/60-17M ,Single disc,220 mm (8.7 inches),Single disc,,165.0 kg (363.8 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",1054 mm (41.5 inches),1989 mm (78.3 inches),800 mm (31.5 inches),145 mm (5.7 inches),1369 mm (53.9 inches),14.00 litres (3.70 US gallons),,2.00 litres (2.11 US quarts),"Metallic Matte Graphite Gray/Metallic Spark Black, Candy Steel Furnace Orange/Metallic Flat Spark Black",Electric,Air,167.0 kg (368.2 pounds),,147.0 km/h (91.3 mph),,12 Month Limited Warranty,,,2,,0.2695 HP/kg,,,,,SAE 10W-40,DOT 4,NGK LMAR9G,1300  +/- 100  RPM,29 PSI (2 Bar or 200 kPa),33 PSI (2.3 Bar or 230 kPa),41 mm (1.6 inches),,,,1.00 litres (0.26 US gallons),520,106,14/41 (front/rear),,,FTX9-BS,,,,
Lifan Custom V250,2020,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.9 ccm (15.19 cubic inches),"Twin, four-stroke",18.1 HP (13.2  kW)) @ 8000 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 6000 RPM,9.2:1,49.0 x 66.0 mm (1.9 x 2.6 inches),,,T.C.I,,5-speed,,Wet multi-plate,,,,,,,,Telescopic fork,,Swing arm,,3-18 ,5-15 ,Single disc,,Expanding brake (drum brake),,,"670 mm (26.4 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2250 mm (88.6 inches),780 mm (30.7 inches),,1495 mm (58.9 inches),12.80 litres (3.38 US gallons),,,Black,Electric,Air,152.0 kg (335.1 pounds),,115.0 km/h (71.5 mph),,,"Model id:LF250B
Chinese brand",,,,0.1191 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Otto Bike MXR Maxi Extreme Rider,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,14.8 HP (10.8  kW)),45.0 Nm (4.6 kgf-m or 33.2 ft.lbs),,,,,,,,Chain   (final drive),,,,,,,,,37 mm upside-down fork,,Monoshock with piggyback,,70/100-19 ,90/100-16 ,Single disc. Tokico twin-piston caliper,180 mm (7.1 inches),Single disc. Nissin single piston,,100.0 kg (220.5 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1133 mm (44.6 inches),1990 mm (78.3 inches),770 mm (30.3 inches),,1370 mm (53.9 inches),,,,Green/gold,Electric,Liquid,,,120.0 km/h (74.6 mph),,"2 years or 15,000 km",69.9 Ah battery. Range 150 km. Made in Taiwan.,Central Motor,,,,,LCD,,,,,,,,,,,,,,,,,,,,,,,
Dinamo Chopper 250,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)),,,,,,CDI,,,,,,,,,,,,Telescopic,,Rigid,,90/90-19 ,130/80-16 ,,,,,,,1320 mm (52.0 inches),2150 mm (84.6 inches),880 mm (34.6 inches),,1500 mm (59.1 inches),,,,"Blue, Green, Black",Electric,Air,,,120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR1400,2020,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1441.0 ccm (87.93 cubic inches),"In-line four, four-stroke",200.0 HP (146.0  kW)) @ 10000 RPM,158.2 Nm (16.1 kgf-m or 116.7 ft.lbs) @ 7500 RPM,12.3:1,84.0 x 65.0 mm (3.3 x 2.6 inches),Injection. Ø 44 mm x 4 (Mikuni),Double Overhead Cams/Twin Cam (DOHC),Digital,"Forced lubrication, wet sump with oil cooler",6-speed,Chain   (final drive),"Wet multi-disc, manual",Sealed chain,6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Monocoque, pressed-aluminium",23.0°,93 mm (3.7 inches),43 mm inverted fork with top-out springs Compression damping: 18-way Rebound damping: 15-way Spring preload: Fully adjustable.,117 mm (4.6 inches),Bottom-Link Uni-Trak with gas-charged shock. Compression damping: Stepless. Rebound damping: Stepless. Spring preload: Fully adjustable.,124 mm (4.9 inches),120/70-ZR17 ,190/50-ZR17 ,"Double disc. Dual radial-mount, opposed 4-piston, 4-pad.",250 mm (9.8 inches),"Single disc. Opposed, twin-piston caliper.",,269.0 kg (593.0 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),2170 mm (85.4 inches),770 mm (30.3 inches),125 mm (4.9 inches),1480 mm (58.3 inches),22.00 litres (5.81 US gallons),,,Metallic Diablo Black/Golden Blazed Green,Electric,Liquid,,,,,,Small windscreen. Maximum power of 210 PS with RAM air.,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motomel SR 200R,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.8 ccm (12.13 cubic inches),"Single cylinder, four-stroke",14.7 HP (10.7  kW)) @ 7500 RPM,,9.3:1,,,,,,,,,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Inverted Telescopic,,Mono shocks,,110/70-17 ,130/70-17 ,Single disc,,Single disc,,,,1100 mm (43.3 inches),2000 mm (78.7 inches),680 mm (26.8 inches),,,14.00 litres (3.70 US gallons),,,"White, Blue, Red",Electric & kick,Air,130.0 kg (286.6 pounds),,100.0 km/h (62.1 mph),,,,,,,0.1130 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
AJP PR4 Supermoto Pro 240,2020,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,233.0 ccm (14.22 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 7000 RPM,,69.0 x 62.2 mm (2.7 x 2.4 inches),Carburettor. 30 mm,Single Overhead Cams (SOHC),,,5-speed,Chain   (final drive),"Oil bath, multidisc",,,,,Composite  aluminum/steel,,,AJP Ø43 mm  – fully adjustable,280 mm (11.0 inches),"ZF Sachs progressive system, fully adjustable",300 mm (11.8 inches),100/80-17 ,130/70-17 ,Single disc. 2-piston calipers,220 mm (8.7 inches),Single disc,"Black rims, wire spoked",,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,335 mm (13.2 inches),1360 mm (53.5 inches),7.00 litres (1.85 US gallons),,,White/red/black,Electric,Oil & air,115.0 kg (253.5 pounds),,,,,Portuguese brand.,,2,,0.1739 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Pulsion 125 Allure,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",14.2 HP (10.4  kW)) @ 9000 RPM,11.9 Nm (1.2 kgf-m or 8.8 ft.lbs) @ 7000 RPM,,57.0 x 48.9 mm (2.2 x 1.9 inches),Injection,,,,Automatic,Belt   (final drive),,,3.45 litres/100 km (29.0 km/l or 68.18 mpg),80.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,,"Telescopic fork, hydraulic",260 mm (10.2 inches),"Monoshock, adjustable",220 mm (8.7 inches),110/70-16 ,110/80-14 ,Single disc. ABS,,Single disc. ABS,,,,,,,,,7.50 litres (1.98 US gallons),,,"Red, Gray",Electric,Liquid,,,108.0 km/h (67.1 mph),,,,,2,,,,Digital,,,,,,,,,,,,,,,,,,,,,,,
Okinawa Ridgepluss,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,,,,,,,,,,,,,,Hydrauliv Telescopic,,Double shocker with dual tube technology,,3-10 ,3-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,"735 mm (28.9 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),1725 mm (67.9 inches),695 mm (27.4 inches),,,,,,"Mid Night Blue, Lucent Orange/Magna Grey",Electric,,,,,,,"Range/Charge	90 - 100 km/per charge
Charging Time	2 - 3hrs
Charger Specification	Micro Charger with Auto Cut",BLDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
