Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Ignition,Lubrication system,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Seat height,Overall height,Overall length,Overall width,Ground clearance,Color options,Starter,Torque,Clutch,Rake (fork angle),Trail,Power/weight ratio,Fuel consumption,Greenhouse gases,Exhaust system,Comments,Wheelbase,Seat,Instruments,Reserve fuel capacity,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Modifications compared to previous model,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size
Harley-Davidson XLH Sportster 883 De Luxe,1989,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,149.0 km/h (92.6 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NTV 650 Revere (reduced effect #2),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,647.0 ccm (39.48 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,9.2:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,208.0 kg (458.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 F,1989,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,187.0 km/h (116.2 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Single disc,162.0 kg (357.1 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXLR 1340 Low Rider Custom (reduced effect),1989,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,280.0 kg (617.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 250 Spada OBI,1989,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 12000 RPM,180.0 km/h (111.8 mph),11.0:1,60.1 x 44.1 mm (2.4 x 1.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,,110/80-17 52H ,140/70-17 66H ,Single disc,,,11.00 litres (2.91 US gallons),14000,Carburettor,,wet sump,Aluminium Frame,,,,,,140.0 kg (308.6 pounds),,1020 mm (40.2 inches),2010 mm (79.1 inches),715 mm (28.1 inches),,,Electric,,,,,0.2857 HP/kg,,,,,1380 mm (54.3 inches),,,,,,,,,,,,,,,,
BMW R 65,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,147.0 km/h (91.3 mph),8.4:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 GS,1989,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,164.0 km/h (101.9 mph),8.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,225.0 kg (496.0 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 600 (reduced effect),1989,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,180.0 km/h (111.8 mph),12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,130/70-18 ,Dual disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 501 New York,1989,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",507.0 ccm (30.94 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7800 RPM,147.0 km/h (91.3 mph),11.5:1,71.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),90/90-19 ,130/90-16 ,Single disc,Single disc,177.0 kg (390.2 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1989,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,,10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,222.0 kg (489.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C,1989,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5500 RPM,163.0 km/h (101.3 mph),8.5:1,87.5 x 91.4 mm (3.4 x 3.6 inches),3,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),110/90-19 ,170/80-15 ,Single disc,Expanding brake,265.0 kg (584.2 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500 S,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB1,1989,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",45.0 HP (32.8  kW)) @ 8000 RPM,193.1 km/h (120.0 mph),,,4,Overhead Cams (OHC),Liquid,6-speed,Chain   (final drive),,,Single disc,Single disc,,,13500,Carburettor,digital,wet sump,aluminium tubular,,,monoshock,,,,,,,,,"red, black, blue",Electric,,,,,,,,"4-into-1 stainless exhaust pipe, stainless downpipes","derived from the CBR400, known as a naked ´Baby Blade´, import from Japan to UK",,,,,,,,,,,,,,,,,
Honda GL 1500-6 Gold Wing,1989,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,184.0 km/h (114.3 mph),9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Liquid,5-speed with reverse,Shaft drive (cardan)   (final drive),130/70-18 ,160/80-16 ,Dual disc,Single disc,387.0 kg (853.2 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,1989,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)) @ 11000 RPM,227.0 km/h (141.1 mph),11.3:1,63.0 x 48.0 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/80-17 ,130/80-17 ,Dual disc,Single disc,209.0 kg (460.8 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000,1989,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,,12.0:1,75.5 x 56.0 mm (3.0 x 2.2 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),130/60-17 ,170/60-17 ,Dual disc,Single disc,236.0 kg (520.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 R Dakar (reduced effect),1989,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6200 RPM,131.0 km/h (81.4 mph),9.5:1,94.0 x 85.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,161.0 kg (354.9 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Enduro 320,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,317.0 ccm (19.34 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),14.1:1,76.0 x 70.0 mm (3.0 x 2.8 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Elefant 750,1989,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 8000 RPM,166.0 km/h (103.1 mph),9.3:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,213.0 kg (469.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15 (reduced effect #2),1989,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1470.0 ccm (89.70 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 3300 RPM,122.0 km/h (75.8 mph),9.0:1,102.0 x 90.0 mm (4.0 x 3.5 inches),4,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Single disc,Single disc,284.0 kg (626.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,130.0 kg (286.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 350 Dakota,1989,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,123.0 km/h (76.4 mph),9.5:1,80.0 x 69.4 mm (3.1 x 2.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,4.60-17 ,Single disc,Expanding brake,181.0 kg (399.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NTV 650 Revere (reduced effect),1989,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,177.0 km/h (110.0 mph),9.2:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,208.0 kg (458.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini Dart 350,1989,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",34.0 HP (24.8  kW)) @ 8000 RPM,159.0 km/h (98.8 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),110/80-16 ,130/70-17 ,Single disc,Single disc,169.0 kg (372.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 750 (reduced effect),1989,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,233.0 km/h (144.8 mph),11.2:1,68.0 x 51.6 mm (2.7 x 2.0 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,140/70-18 ,Dual disc,Single disc,232.0 kg (511.5 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Incas 600 LC 4,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 7000 RPM,150.0 km/h (93.2 mph),9.5:1,95.0 x 78.0 mm (3.7 x 3.1 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,120/80-18 ,Single disc,Single disc,140.0 kg (308.6 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 125 ESF,1989,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.3 HP (9.7  kW)) @ 8500 RPM,114.7 km/h (71.3 mph),9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,11.00 litres (2.91 US gallons),10000,Carburettor. Mikuni VM24SS 24 mm,"Electronic, transistor controlled","Pressure fed, wet sump",,,,,,,103.0 kg (227.1 pounds),"745 mm (29.3 inches) If adjustable, lowest setting.",1122 mm (44.2 inches),1945 mm (76.6 inches),710 mm (28.0 inches),170 mm (6.7 inches),,Electric,,Wet plate,,,0.1288 HP/kg,,,Signle pipe,,1270 mm (50.0 inches),,,1.60 litres (0.42 US gallons),,,,,,,,,,,,,
Yamaha XV 535 Virago,1989,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,128.0 km/h (79.5 mph),9.0:1,76.0 x 59.0 mm (3.0 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-19 ,140/90-15 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G 80 K,1989,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7300 RPM,135.0 km/h (83.9 mph),9.2:1,89.0 x 79.4 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Single disc,Expanding brake,172.0 kg (379.2 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 750 R (reduced effect),1989,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11250 RPM,234.0 km/h (145.4 mph),11.4:1,72.0 x 46.0 mm (2.8 x 1.8 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,215.0 kg (474.0 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 Sport,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,110.0 km/h (68.4 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZL 1000 (reduced effect),1989,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,206.0 km/h (128.0 mph),10.2:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,160/80-15 ,Dual disc,Single disc,271.0 kg (597.5 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 600 E,1989,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",564.0 ccm (34.42 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,151.0 km/h (93.8 mph),9.6:1,96.0 x 78.0 mm (3.8 x 3.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,163.0 kg (359.4 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S (reduced effect),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9300 RPM,187.0 km/h (116.2 mph),10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/90-16 ,Dual disc,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1989,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 GT,1989,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9500 RPM,198.0 km/h (123.0 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),24.50 litres (6.47 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G 80 E,1989,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7300 RPM,135.0 km/h (83.9 mph),9.2:1,89.0 x 79.4 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Expanding brake,172.0 kg (379.2 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 S (reduced effect),1989,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,141.0 km/h (87.6 mph),9.1:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 TS,1989,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,125.0 km/h (77.7 mph),10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3 25-18 ,3.50-18 ,Expanding brake,Expanding brake,166.0 kg (366.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 125 WRK,1989,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,95.0 km/h (59.0 mph),15.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),90/90-21 ,120/90-18 ,Single disc,Expanding brake,91.0 kg (200.6 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 Sei-V Klassik,1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Expanding brake,180.0 kg (396.8 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno 350,1989,Sport touring," 2.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",,,,,,Desmodromic valve control,Liquid,5-speed,Chain   (final drive),110/70-17 ,140/70-17 ,Single disc,Single disc,,20.00 litres (5.28 US gallons),,Carburettor,,,,,,,,240 mm (9.4 inches),145.0 kg (319.7 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),2030 mm (79.9 inches),730 mm (28.7 inches),,,Electric & kick,,Wet Plate,,,,,,,,1410 mm (55.5 inches),,,2.00 litres (0.53 US gallons),,,,,,,,,,,,,
Moto Guzzi NTX 650,1989,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7050 RPM,164.7 km/h (102.3 mph),10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),,,Single disc. 2 piston calipers,Single disc. 1 piston caliper,,32.00 litres (8.45 US gallons),,,elecronic,,,,,,,260 mm (10.2 inches),170.0 kg (374.8 pounds),,,,,,,Electric,49.0 Nm (5.0 kgf-m or 36.1 ft.lbs) @ 4000 RPM,multiple dry plates,,,0.2941 HP/kg,,,,,,,,,,14.20 seconds,,,,,,,,,,,
