Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
Harley-Davidson FLSTF Fat Boy,1999,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,152.0 km/h (94.4 mph),Air,5-speed,Belt   (final drive),Single disc. Four-piston calipers. ,Single disc. Four-piston calipers. ,310.0 kg (683.4 pounds),0.1806 HP/kg,1632 mm (64.3 inches),15.90 litres (4.20 US gallons),97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,7.20 seconds,23.00 seconds,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,129 mm (5.1 inches),103 mm (4.1 inches),130/90-16 ,130/90-16 ,291 mm (11.5 inches),305.0 kg (672.4 pounds),46.6,"680 mm (26.8 inches) If adjustable, lowest setting.",Electric,,2,Carburettor,,Overhead Valves (OHV),"Single-fire, non-wasted, map-controlled spark ignition",32.0°,147 mm (5.8 inches),41.3 mm,"Hidden, horizontal-mounted, coil-over shock",3.30 litres (3.49 US quarts),SAE 20W-50,DOT 5 Silicone,,NGK BPR5ES-11,1000  +/- 50  RPM,36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,"Dry sump, internally mounted, crank driven gerotor pressure and dual scavenge pump.", Wet 9-plate,,2395 mm (94.3 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,
CZ 125,1999,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.2 ccm (7.52 cubic inches),"Single cylinder, two-stroke",10.1 HP (7.4  kW)) @ 5500 RPM,85.0 km/h (52.8 mph),Liquid,4-speed,Chain   (final drive),,,126.0 kg (277.8 pounds),0.0802 HP/kg,,12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Tour,1999,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,161.0 km/h (100.0 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1420 mm (55.9 inches),18.00 litres (4.76 US gallons),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5250 RPM,6.50 seconds,21.20 seconds,9.2:1,100.0 x 84.0 mm (3.9 x 3.3 inches),6.70 litres/100 km (14.9 km/l or 35.11 mpg),155.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),130 mm (5.1 inches),110/70-ZR17 ,150/60-ZR17 ,240 mm (9.4 inches),189.0 kg (416.7 pounds),46.6,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1100 SF,1999,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",134.0 HP (97.8  kW)),257.5 km/h (160.0 mph),Liquid,5-speed,Chain   (final drive),Double disc,Single disc,222.0 kg (489.4 pounds),0.6036 HP/kg,,22.00 litres (5.81 US gallons),112.6 Nm (11.5 kgf-m or 83.0 ft.lbs),,,,,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,120/70-17 ,180/55-17 ,256 mm (10.1 inches),,,,Electric,,4,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,Twin aluminuim spars,"Black, Red, Blue",,,,,,,,,11500,,,,,,,,,None,,,,,,,
Daelim VT 125,1999,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9100 RPM,108.0 km/h (67.1 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1500 mm (59.1 inches),12.00 litres (3.17 US gallons),,,,,56.5 x 49.5 mm (2.2 x 1.9 inches),3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,115 mm (4.5 inches),80 mm (3.1 inches),90/90-18 ,130/90-15 ,130 mm (5.1 inches),,,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric & kick,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motolevo Minsk 125 mod 112.12,1999,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)),85.0 km/h (52.8 mph),Air,,Chain   (final drive),Expanding brake,Expanding brake,105.0 kg (231.5 pounds),0.0952 HP/kg,1220 mm (48.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 850,1999,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",80.0 HP (58.4  kW)) @ 7500 RPM,202.0 km/h (125.5 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,,,1470 mm (57.9 inches),20.00 litres (5.28 US gallons),80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 6000 RPM,3.80 seconds,11.40 seconds,10.5:1,89.5 x 67.5 mm (3.5 x 2.7 inches),5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,149 mm (5.9 inches),140 mm (5.5 inches),110/80-ZR18 ,150/70-ZR17 ,245 mm (9.6 inches),234.5 kg (517.0 pounds),49.0,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR,1999,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",918.0 ccm (56.02 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 10000 RPM,254.0 km/h (157.8 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1405 mm (55.3 inches),18.00 litres (4.76 US gallons),94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 8000 RPM,3.10 seconds,10.10 seconds,11.1:1,71.0 x 58.0 mm (2.8 x 2.3 inches),6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),125 mm (4.9 inches),130/70-ZR16 ,180/55-ZR17 ,220 mm (8.7 inches),203.0 kg (447.5 pounds),50.5,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC4-E 400,1999,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)),155.0 km/h (96.3 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,136.0 kg (299.8 pounds),0.2500 HP/kg,1510 mm (59.4 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-6R Ninja,1999,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",107.0 HP (78.1  kW)) @ 12000 RPM,243.0 km/h (151.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1400 mm (55.1 inches),18.00 litres (4.76 US gallons),65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 10000 RPM,3.10 seconds,10.80 seconds,11.8:1,66.0 x 43.8 mm (2.6 x 1.7 inches),6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),135 mm (5.3 inches),120/60-ZR17 ,170/60-ZR17 ,220 mm (8.7 inches),203.0 kg (447.5 pounds),50.7,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GN 125,1999,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9600 RPM,101.0 km/h (62.8 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1280 mm (50.4 inches),10.00 litres (2.64 US gallons),8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 8600 RPM,,,9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),3.20 litres/100 km (31.3 km/l or 73.51 mpg),74.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),75 mm (3.0 inches),,,130 mm (5.1 inches),110.0 kg (242.5 pounds),45.0,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Legend TT,1999,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",68.0 HP (49.6  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1580 mm (62.2 inches),15.00 litres (3.96 US gallons),68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 4800 RPM,5.10 seconds,12.40 seconds,10.0:1,76.0 x 65.0 mm (3.0 x 2.6 inches),5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),136 mm (5.4 inches),120/70-ZR17 ,160/60-ZR17 ,285 mm (11.2 inches),234.0 kg (515.9 pounds),47.7,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road Glide,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5400 RPM,155.0 km/h (96.3 mph),Air,5-speed,Belt   (final drive),,,332.0 kg (731.9 pounds),0.2048 HP/kg,1613 mm (63.5 inches),18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 7000 RPM,159.0 km/h (98.8 mph),Liquid,6-speed,Chain   (final drive),Single disc,Expanding brake,,,1595 mm (62.8 inches),15.00 litres (3.96 US gallons),39.0 Nm (4.0 kgf-m or 28.8 ft.lbs) @ 4200 RPM,6.70 seconds,18.00 seconds,10.2:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),70 mm (2.8 inches),100/90-19 ,140/90-15 ,180 mm (7.1 inches),214.0 kg (471.8 pounds),47.0,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 A Royal Star,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",74.0 HP (54.0  kW)) @ 5000 RPM,175.0 km/h (108.7 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1695 mm (66.7 inches),18.00 litres (4.76 US gallons),110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3500 RPM,5.00 seconds,15.30 seconds,10.0:1,79.0 x 66.0 mm (3.1 x 2.6 inches),6.90 litres/100 km (14.5 km/l or 34.09 mpg),160.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),96 mm (3.8 inches),150/80-H16 ,150/90-H15 ,320 mm (12.6 inches),330.0 kg (727.5 pounds),47.0,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 S,1999,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",57.0 HP (41.6  kW)) @ 9500 RPM,179.0 km/h (111.2 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,,,1435 mm (56.5 inches),18.00 litres (4.76 US gallons),47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 8000 RPM,5.20 seconds,18.00 seconds,10.5:1,73.0 x 59.6 mm (2.9 x 2.3 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),117 mm (4.6 inches),110/80-17 ,130/80-17 ,240 mm (9.4 inches),198.0 kg (436.5 pounds),,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna CR 125,1999,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,Liquid,6-speed,,,,,,,,,,,,,,,,,,,,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,oil capacity,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 SE,1999,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6400 RPM,160.0 km/h (99.4 mph),Oil & air,5-speed,Chain   (final drive),Single disc,Single disc,,,1490 mm (58.7 inches),13.00 litres (3.43 US gallons),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 4600 RPM,5.90 seconds,19.20 seconds,8.5:1,100.0 x 82.0 mm (3.9 x 3.2 inches),5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,260 mm (10.2 inches),260 mm (10.2 inches),90/90-21 ,120/90-17 ,240 mm (9.4 inches),165.0 kg (363.8 pounds),46.6,"890 mm (35.0 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1200,1999,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1156.0 ccm (70.54 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,,Oil & air,5-speed,Chain   (final drive),Dual disc,Single disc,,,1465 mm (57.7 inches),18.00 litres (4.76 US gallons),91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 4500 RPM,,,,,,,,,120/70-ZR17 ,170/60-ZR17 ,320 mm (12.6 inches),211.0 kg (465.2 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXD Dyna Super Glide,1999,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5400 RPM,165.0 km/h (102.5 mph),Air,5-speed,Belt   (final drive),Single disc. Four-piston calipers. ,Single disc. Four-piston calipers. ,277.0 kg (610.7 pounds),0.2455 HP/kg,1587 mm (62.5 inches),18.60 litres (4.91 US gallons),116.6 Nm (11.9 kgf-m or 86.0 ft.lbs),,,8.9:1,95.3 x 101.6 mm (3.8 x 4.0 inches),,,,,100/90-19 ,MT90-B16 ,292 mm (11.5 inches),301.0 kg (663.6 pounds),,,Electric,,2,Carburettor,,Overhead Valves (OHV),"Single-fire, non-wasted, map-controlled spark ignition",29.0°,120 mm (4.7 inches),39 mm polished aluminum fork triple clamp and dual-rate springs,Coil over shock,,,,,,,,,,"Steel tubular. Rectangular section backbone. Stamped, cast and forged junctions, forged fender supports.",,"Dry sump, internally mounted, crank driven gerotor pressure and dual scavenge pump.", Wet 9-plate,,2357 mm (92.8 inches),153 mm (6.0 inches),,,,,,,,,,,,,,,,,,,,
Suzuki TL 1000 R,1999,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1395 mm (54.9 inches),17.00 litres (4.49 US gallons),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 7500 RPM,3.20 seconds,9.20 seconds,11.7:1,98.0 x 66.0 mm (3.9 x 2.6 inches),6.90 litres/100 km (14.5 km/l or 34.09 mpg),160.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,115 mm (4.5 inches),125 mm (4.9 inches),120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),230.0 kg (507.1 pounds),48.0,"825 mm (32.5 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 SE,1999,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 7600 RPM,140.0 km/h (87.0 mph),Air,6-speed,Chain   (final drive),Single disc,Single disc,130.0 kg (286.6 pounds),0.2308 HP/kg,1450 mm (57.1 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 600 EL,1999,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",,160.0 km/h (99.4 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,118.0 kg (260.1 pounds),,1490 mm (58.7 inches),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500,1999,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",57.0 HP (41.6  kW)) @ 9500 RPM,193.0 km/h (119.9 mph),Liquid,6-speed,Chain   (final drive),Single disc. Nissin 2-piston sliding caliper,Single disc. Brembo single piston sliding caliper,173.0 kg (381.4 pounds),0.3295 HP/kg,1435 mm (56.5 inches),18.00 litres (4.76 US gallons),34.7 Nm (3.5 kgf-m or 25.6 ft.lbs) @ 8000 RPM,,,,,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,115 mm (4.5 inches),117 mm (4.6 inches),110/80-17 57H ,130/80-17 65H ,240 mm (9.4 inches),,,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,,4,Carburettor. Keihin 2 x 34 mm VP type,,Double Overhead Cams/Twin Cam (DOHC),Digital transistorised with electronic advance,27.0°,113 mm (4.4 inches),37 mm oil-damped telescopic forks,"Twin shoks acting on a steel, box-section swingarm",3.10 litres (3.28 US quarts),,,,,,,,,Double cradle of tubular and box-section steel construction,,,"Wet multi-plate, calbe-operated",,2090 mm (82.3 inches),145 mm (5.7 inches),,,,10500,1050 mm (41.3 inches),720 mm (28.3 inches),2.50 litres (0.66 US gallons),,,13.50 seconds,,,,,,,,,,
Kawasaki GPZ 500 S,1999,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 9800 RPM,185.0 km/h (115.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1435 mm (56.5 inches),18.00 litres (4.76 US gallons),46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 8500 RPM,4.90 seconds,17.00 seconds,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),100 mm (3.9 inches),110/70-17 ,130/70-17 ,240 mm (9.4 inches),200.0 kg (440.9 pounds),47.2,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Super Glide Sport,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5400 RPM,178.0 km/h (110.6 mph),Air,5-speed,Belt   (final drive),Double disc. 4-piston caliper,Single disc. 4-piston caliper,,,1607 mm (63.3 inches),18.60 litres (4.91 US gallons),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,5.20 seconds,15.10 seconds,8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,175 mm (6.9 inches),78 mm (3.1 inches),100/90-H19 ,130/90-HB16 ,292 mm (11.5 inches),300.0 kg (661.4 pounds),46.0,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,,2,Carburettor,,,,,,"Telescopic fork, 39mm","Sport shocks, adjustable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,
Harley-Davidson Heritage Springer,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),Air,5-speed,Belt   (final drive),,,310.5 kg (684.5 pounds),0.1804 HP/kg,1602 mm (63.1 inches),15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NT 650 V Deauville,1999,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",54.4 HP (39.7  kW)) @ 8000 RPM,179.0 km/h (111.2 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1475 mm (58.1 inches),19.00 litres (5.02 US gallons),55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 6000 RPM,5.80 seconds,16.50 seconds,9.2:1,79.0 x 66.0 mm (3.1 x 2.6 inches),5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,115 mm (4.5 inches),120 mm (4.7 inches),120/70-ZR17 ,150/70-ZR17 ,240 mm (9.4 inches),244.0 kg (537.9 pounds),57.0,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB 8 R,1999,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,265.0 km/h (164.7 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,178.0 kg (392.4 pounds),0.7584 HP/kg,1390 mm (54.7 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California EV,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 6400 RPM,172.0 km/h (106.9 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1560 mm (61.4 inches),19.00 litres (5.02 US gallons),94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,5.60 seconds,14.50 seconds,9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),5.40 litres/100 km (18.5 km/l or 43.56 mpg),125.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),120 mm (4.7 inches),110/90-VB18 ,140/80-VB17 ,282 mm (11.1 inches),270.0 kg (595.2 pounds),46.5,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,2,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
