Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Confederate R131 Fighter,2013,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2146.8 ccm (131.00 cubic inches),"V2, four-stroke",,111.1 x 111.1 mm (4.4 x 4.4 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,,,5-speed,Chain   (final drive),Marzocchi 50mm. inverted front forks with radial mounts.,Dual Penske; coil over with cooling reservoir; multi adjustable.,130/60-VR18 ,240/40-VR18 ,Single disc. 4-piston Bremo,Single disc. 4-piston Bremo,,,,,1626 mm (64.0 inches),,"Black, grey",Electric,,150.0 HP (109.5  kW)),203.4 Nm (20.7 kgf-m or 150.0 ft.lbs),,,Aluminum monocoque with oil/fuel stored internally,"Carbon fibre, 5-spoke",,,Limited edition of 10 bikes.,,,,,,,,,,,,,,,,,,,4.90 litres (5.18 US quarts),,,,,,,,,,,,,,,,,,
Loncin LX125-71A City Star L,2013,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.1 ccm (7.63 cubic inches),"Single cylinder, four-stroke",9.5:1,56.5 x 58.0 mm (2.2 x 2.3 inches),Carburettor,,C.D.I,,Air,5-speed,Chain   (final drive),,,80/90-17 ,110/80-17 ,Single disc,Expanding brake (drum brake),"790 mm (31.1 inches) If adjustable, lowest setting.",,1980 mm (78.0 inches),810 mm (31.9 inches),1250 mm (49.2 inches),11.00 litres (2.91 US gallons),"Dark red, white",Electric & kick,,10.7 HP (7.8  kW)) @ 8500 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7500 RPM,,,,Front tyre size,115.0 kg (253.5 pounds),0.0930 HP/kg,Chinese made bike. ,,,,,,,,,,,,160 mm (6.3 inches),,,,,,12V 9AH battery.,,,,,,,,,,,,,,,,,,,
Rewaco CT 1700 V,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1731.0 ccm (105.63 cubic inches),"V2, four-stroke",9.4:1,101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,Single Overhead Cams (SOHC),,,Oil & air,6-speed,Belt   (final drive),"Conventional telescopic fork, 46 mm diameter, 5.1 in / 130 mm travel",Dual shock,90/90-21 ,215/55-16 ,Double disc,Single disc,,1210 mm (47.6 inches),2620 mm (103.1 inches),1490 mm (58.7 inches),,17.03 litres (4.50 US gallons),Solid Black,Electric,"50 degree V-Twin. Self-adjusting cam chains, hydraulic lifters.",88.5 HP (64.6  kW)) @ 4900 RPM,140.0 Nm (14.3 kgf-m or 103.3 ft.lbs) @ 2700 RPM,,,,,424.0 kg (934.8 pounds),0.2088 HP/kg,Trike based on a Victory Vegas 8-Ball. Rewaco is a German brand.,4,"Wet, multi-plate",32.9°,124 mm (4.9 inches),,,300 mm (11.8 inches),,,,,,,165.0 km/h (102.5 mph),,,,12 volts / 18 amp hours battery.,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,
Loncin LX200ATV-M Storm,2013,ATV," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",176.0 ccm (10.74 cubic inches),"Single cylinder, four-stroke",9.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor,,C.D.I,,Air,5-speed,Chain   (final drive),,,22/7-10 ,22/10-10 ,Single disc,Expanding brake (drum brake),"760 mm (29.9 inches) If adjustable, lowest setting.",,1890 mm (74.4 inches),810 mm (31.9 inches),1160 mm (45.7 inches),12.00 litres (3.17 US gallons),"Red, black, blue",Electric,Reversal gear and balance shaft,12.1 HP (8.8  kW)) @ 8500 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6000 RPM,Dimensions and Weight,,Steel,Front tyre size,208.0 kg (458.6 pounds),0.0582 HP/kg,Chinese made ATV. ,,,,,,,,,,,,150 mm (5.9 inches),,65.0 km/h (40.4 mph),,,,12V 9AH battery.,,Digital,,,,,,,,,,,,,,,,,
Sucker Punch Sallys Traditional,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.3 ccm (81.60 cubic inches),"V2, four-stroke",8.5:1,88.9 x 108.0 mm (3.5 x 4.3 inches),Carburettor,Overhead Valves (OHV),Dual Fire Electronic,,,6-speed,Chain   (final drive),41 mm Telescopic,Rigid,3.00-21 ,180/60-16 ,Single disc. Single-piston,Single disc. Single-piston,"610 mm (24.0 inches) If adjustable, lowest setting.",,,,1651 mm (65.0 inches),8.52 litres (2.25 US gallons),Any color,Electric,Harley Davidson Evolution engine. 45 Degree V-Twin ,,,Belt primary drive.,,30 Degrees No-Stretch Rigid Frame,,224.5 kg (495.0 pounds),,"US made customizable bobber. Various factory options for front-end, engine, wheels, exhaust, seats,transmission and lights.",,,,,,,,,,,,102 mm (4.0 inches),12 months,,,,,,2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,
Yamaha YZF-R15,2013,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",10.4:1,57.0 x 58.7 mm (2.2 x 2.3 inches),Injection,Single Overhead Cams (SOHC),TCI,Wet Sump,Liquid,6-speed,Chain   (final drive),Telescopic,Linked Monocross,80/90-17 ,100/80-17 ,Single disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),1995 mm (78.5 inches),670 mm (26.4 inches),1290 mm (50.8 inches),12.00 litres (3.17 US gallons),"Blue, black",Electric,,,,,,Deltabox,,,,Sold in Australia.,,"Multiplate, wet",,,300 mm (11.8 inches),315 mm (12.4 inches),,,,,131.0 kg (288.8 pounds),160 mm (6.3 inches),,,,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,
Victory High-Ball,2013,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",9.4:1,101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,Single Overhead Cams (SOHC),,,Oil & air,6-speed,Belt   (final drive),"Conventional telescopic fork, 43 mm diameter, 5.1 in / 130 mm travel","Single, mono-tube gas, cast aluminum with rising rate linkage, 3.0 in / 75 mm travel, preload adjustable spring",130/90-H16 ,150/80-H16 ,Single disc. Floating rotor with 4-piston calipers. ,Single disc. Floating rotor with 2-piston caliper.,"635 mm (25.0 inches) If adjustable, lowest setting.",,2350 mm (92.5 inches),,1646 mm (64.8 inches),17.03 litres (4.50 US gallons),Suede Black w/graphics,Electric,"Self-adjusting cam chains, hydraulic lifters",,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,Staggered slash-cut dual exhaust with crossover,,Dunlop Cruisemax tires,298.9 kg (659.0 pounds),,,4,"Wet, multi-plate",31.7°,170 mm (6.7 inches),,,300 mm (11.8 inches),,,,,119 mm (4.7 inches),,,,,,12 volts / 18 amp hours battery.,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,
Qlink Adventure 250,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"V2, four-stroke",9.4:1,49.0 x 66.0 mm (1.9 x 2.6 inches),Carburettor,, CDI,,Air,5-speed,Chain   (final drive), Hydraulic fork, Twin shock,110/90-21 ,110/90-16 ,Single disc,Single disc,"706 mm (27.8 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2489 mm (98.0 inches),925 mm (36.4 inches),1570 mm (61.8 inches),14.00 litres (3.70 US gallons),"Black, red",Electric,,17.7 HP (12.9  kW)) @ 8500 RPM,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 6000 RPM,,Chrome dual exhaust,,Chrome spoke wheels,179.6 kg (396.0 pounds),0.0985 HP/kg,,,,,,,,,,,,,165 mm (6.5 inches),    ,,,,,,,,,,,,,,,,,,,,,,,,
Kikker 5150 Hardknock 50,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,,,,Chain   (final drive),Optional Springer Front,,,,Single disc,Single disc,"635 mm (25.0 inches) If adjustable, lowest setting.",,2032 mm (80.0 inches),,,,Black,Electric & kick,,,,,,Chrome or Flat Black,,90.7 kg (200.0 pounds),,,,,,,,,,,,,,,12 months,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Kisbee 50 Sportline,2013,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,,Air,Automatic,Belt   (final drive),,,,,Single disc,Expanding brake (drum brake),"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,Red,Electric,,,,,,Steel,,95.0 kg (209.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Shiver 750 ABS,2013,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",11.0:1,92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Ride by Wire integrated engine control system. ,Double Overhead Cams/Twin Cam (DOHC),"Digital electronic, integrated with the injection",Wet sump,Liquid,6-speed,Chain   (final drive),43 mm upside-down fork.,Aluminium alloy swingarm with reinforcement truss.  Hydraulic shock absorber adjustable in spring preload and rebound damping. ,120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS,Single disc. ABS,"810 mm (31.9 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),2265 mm (89.2 inches),800 mm (31.5 inches),1440 mm (56.7 inches),15.00 litres (3.96 US gallons),"Silver Crowd, Competition black",Electric,Longitudinal 90° V-twin,95.0 HP (69.3  kW)) @ 9000 RPM,,"Primary drive: Spur gears, transmission ratio: 60/31 (1.75)  Final drive: Chain Transmission ratio: 16/44",2 into 1 exhaust system in 100% stainless steel with three-way catalytic converter and lambda probe ,Modular tubular steel frame fastened to aluminium side plates by high strength bolts. Removable rear subframe. ,Aluminium alloy.,193.0 kg (425.5 pounds),0.4922 HP/kg,Continental two channel ABS.,4,"Multi-plate in oil bath, hydraulically operated.",25.7°,109 mm (4.3 inches),120 mm (4.7 inches),130 mm (5.1 inches),240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR500R ABS,2013,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",500.0 ccm (30.51 cubic inches),"Twin, four-stroke",10.7:1,67.0 x 66.8 mm (2.6 x 2.6 inches),Injection. PGM-FI with 34mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,,Liquid,6-speed,Chain   (final drive),41mm fork,Pro-Link single shock with nine-position spring preload adjustability,120/70-17 ,160/60-17 ,Double disc. ABS. Wave disc. Two-piston calipers. ,Single disc. ABS. Wave disc. Single-piston caliper. ,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,1410 mm (55.5 inches),15.52 litres (4.10 US gallons),"Black, Pearl White/Blue/Red, Red",Electric,,,,O-ring-sealed chain,,,,,,Model ID: CBR500RA,4,,25.5°,103 mm (4.1 inches),122 mm (4.8 inches),104 mm (4.1 inches),240 mm (9.4 inches),,,,194.6 kg (429.0 pounds),,One year. Unlimited milage. Transferable.,,,,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,
Hero HF Deluxe,2013,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",97.2 ccm (5.93 cubic inches),"Single cylinder, four-stroke",9.0:1,50.0 x 49.5 mm (2.0 x 1.9 inches),Carburettor,Overhead Cams (OHC),Digital CDI,,Air,4-speed,Chain   (final drive),Telescopic fork,Swing arm with 2 step adjustable hydraulic shockabsorber,2.75-18 ,2.75-18 ,Expanding brake (drum brake),Expanding brake (drum brake),"805 mm (31.7 inches) If adjustable, lowest setting.",1045 mm (41.1 inches),1965 mm (77.4 inches),720 mm (28.3 inches),1235 mm (48.6 inches),10.50 litres (2.77 US gallons),"Silver, black with red stripes, black with purple stripes, red, maroon, white",Electric & kick,,7.8 HP (5.7  kW)) @ 7500 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,Constant mesh,,Tubular double cradle,"Wire spoke wheels , optional cast wheels",,,Optional self starter. Sold in India. Brand previously called Hero Honda.,,"Multiplate, wet",,,,,110 mm (4.3 inches),1.80 litres (0.48 US gallons),,,112.0 kg (246.9 pounds),165 mm (6.5 inches),,,,"12v - 35/35W ( Halogen bulb ), Rectangular MFR.",,12V 3 Ah battery.,,,,,,,,,,,,,,,,,,,
Honda TMX 155,2013,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",155.3 ccm (9.48 cubic inches),"Single cylinder, four-stroke",,58.5 x 57.8 mm (2.3 x 2.3 inches),Carburettor,Overhead Valves (OHV),AC-CDI (Capacitor Discharge Ignition),,Air,4-speed,Chain   (final drive),Telescopic Fork,Twin shocks,3.00-17 ,3.00-17 ,Expanding brake (drum brake),Expanding brake (drum brake),"743 mm (29.3 inches) If adjustable, lowest setting.",1032 mm (40.6 inches),1915 mm (75.4 inches),735 mm (28.9 inches),1201 mm (47.3 inches),9.00 litres (2.38 US gallons),"Black, blue red",Kick,,12.5 HP (9.1  kW)) @ 8000 RPM,12.1 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 6500 RPM,,,,Spoke,108.3 kg (238.8 pounds),0.1151 HP/kg,Sold in some Asian contries.,,,,,,,,,,,,150 mm (5.9 inches),,,,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,
Sachs Bee 2,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,CDI,,,Automatic,Belt   (final drive),,,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),"770 mm (30.3 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),1780 mm (70.1 inches),690 mm (27.2 inches),1250 mm (49.2 inches),6.00 litres (1.59 US gallons),"Red, black",Electric,,4.3 HP (3.1  kW)) @ 7500 RPM,,CVT automatic,,,,87.0 kg (191.8 pounds),0.0494 HP/kg,German brand also called SFM-bikes.,,,,,,,,,,,92.0 kg (202.8 pounds),,,45.0 km/h (28.0 mph),2-person seat,,,,,,,,,,,,,,,,,,,,,,
Husqvarna CR65,2013,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",9.1:1,45.0 x 40.8 mm (1.8 x 1.6 inches),Carburettor. Mikuni TM 24 with flat valve,,Electronic,Premix 25 : 1,Liquid,6-speed,Chain   (final drive),35mm Marzocchi,"Sachs shock, adjustable for preload and rebound damping",60/100-14 ,60/100-12 ,Single disc,Single disc,"750 mm (29.5 inches) If adjustable, lowest setting.",1015 mm (40.0 inches),1640 mm (64.6 inches),770 mm (30.3 inches),1130 mm (44.5 inches),3.50 litres (0.92 US gallons),Red/White/Black,Kick,,,,"Single speed, chain final drive",,"Steel single tube cradle, alloy rear frame",,55.0 kg (121.3 pounds),,,,"Multi plate, hydraulic control",,,220 mm (8.7 inches),270 mm (10.6 inches),165 mm (6.5 inches),,,,,280 mm (11.0 inches),2 year manufacturers warranty,,,,,,,,,,,,,,,,,,,,,,,,
Izuka SL 125,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,CDI,,Air,Automatic,Belt   (final drive),Telescopic fork,Dual shocks,130/60-13 ,130/60-13 ,Single disc,Expanding brake (drum brake),,1060 mm (41.7 inches),1940 mm (76.4 inches),660 mm (26.0 inches),1355 mm (53.3 inches),6.80 litres (1.80 US gallons),"Grey, Red",Electric & kick,,6.8 HP (5.0  kW)) @ 7500 RPM,7.7 Nm (0.8 kgf-m or 5.6 ft.lbs) @ 6000 RPM,,,Steel,,110.0 kg (242.5 pounds),0.0618 HP/kg,Mexican brand.,,,,,,,,,,,,,,75.0 km/h (46.6 mph),Dual seat,Dual headlights,,,,,,,,,,,,,,,,,,,,,
Longjia Estate 50 2T,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",10.5:1,,Carburettor,,CDI,,Air,Automatic,Belt   (final drive),Telecsopic fork,Swing arm,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),,1160 mm (45.7 inches),1840 mm (72.4 inches),675 mm (26.6 inches),,6.80 litres (1.80 US gallons),White,Electric & kick,,3.8 HP (2.7  kW)) @ 6500 RPM,,V-Belt,,Steel,,87.0 kg (191.8 pounds),0.0431 HP/kg,Chinese brand.,,,,,,,,,,,,,,45.0 km/h (28.0 mph),,,,12V7AH battery.,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z125,2013,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.5:1,56.9 x 48.5 mm (2.2 x 1.9 inches),Carburettor. MIKUNI VM20SS,Overhead Cams (OHC),Electronic ignition,Wet sump,Air,5-speed,Chain   (final drive),"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped","70/100-M,17 ","90/100-M,14 ",Expanding brake (drum brake),Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",1085 mm (42.7 inches),1835 mm (72.2 inches),770 mm (30.3 inches),1245 mm (49.0 inches),4.16 litres (1.10 US gallons),Champion Yellow/Solid Black,Kick,,,,"DID 428HG, 122 links",,,,,,,,,,,,,,,,,88.0 kg (194.0 pounds),260 mm (10.2 inches),12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,
Honda FourTrax Rancher AT,2013,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,420.0 ccm (25.63 cubic inches),"Single cylinder, four-stroke",9.5:1,86.5 x 71.5 mm (3.4 x 2.8 inches),"Injection. Programmed Fuel Injection (PGM-FI), 34mm throttle bodies",Overhead Valves (OHV),Full-transistorized type with electronic advance,Dry sump,Liquid,Automatic,Shaft drive (cardan)   (final drive),Independent double-wishbone,Independent double wishbone,24/8-12 ,24/10-11 ,Double disc,Single disc,"836 mm (32.9 inches) If adjustable, lowest setting.",1163 mm (45.8 inches),2055 mm (80.9 inches),1171 mm (46.1 inches),1255 mm (49.4 inches),13.63 litres (3.60 US gallons),"Red, Olive, Natural GearCamo",Electric,,,,Direct front and rear driveshafts,,,,,,Model ID: TRX420FA,,Automatic,,,160 mm (6.3 inches),160 mm (6.3 inches),,,,,283.0 kg (624.0 pounds),231 mm (9.1 inches),1 year,,,,Meets current California Air Resources Board (CARB) and EPA off-road emissions standards.,,,,,,,,,,,,,,,,,,,,
Peugeot V-Clic,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,,Air,Automatic,Belt   (final drive),,,,,Single disc,Expanding brake (drum brake),"715 mm (28.1 inches) If adjustable, lowest setting.",,,,,,"Black, Grey, White, Red",Electric,,,,,,Steel,,79.0 kg (174.2 pounds),,,,Cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco SE 250i Enduro,2013,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,78.0 x 52.2 mm (3.1 x 2.1 inches),Injection. Magnetti Marelli digital electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,,,"Sachs ´GOLD´ telescopic fork, Ø 48 mm tubes rebound and compression adjustable","WP progressive, multiadjustable rear shock utilizing a linkage and rod system",1.60-21 ,2.15-18 ,Single disc. Brembo ,Single disc. Brembo ,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,1480 mm (58.3 inches),8.00 litres (2.11 US gallons),Blue,Electric,Sherco engine,,,6 speed sequential gearbox. Gears in primary drive secondary drive with chain,Brushed stainless tubes and TIG welded,Half perimeter frame Chrome-Molybdenum,"Aluminum rim, steel spokes and Michelin Enduro Competition tube type",102.0 kg (224.9 pounds),,Spanish brand.,4,"Hydraulic, multidisc in oil bath",,,300 mm (11.8 inches),320 mm (12.6 inches),220 mm (8.7 inches),,,,,350 mm (13.8 inches),,,,,,12 V / 7Ah battery. Ducati Energia alternator 150 W.,,,,,,,,,,,,,,,,,,,
Husaberg TE 250,2013,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Keihin PWK 36S AG,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Mixture oil lubrication 1:60,Liquid,6-speed,Chain   (final drive),"WP-USD, 48 mm Closed Cartridqe",WP-PDS DCC shock absorber,90/90-21 ,140/80-18 ,Single disc. Brake calipers on floating bearings,Single disc. Brake calipers on floating bearings,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,1482 mm (58.3 inches),10.70 litres (2.83 US gallons),Blue/yellow,Electric & kick,Reed intake. ,,,5/8 x 1/4 in.,,Central tube frame made of chrome molybdenum steel tubing,,104.0 kg (229.3 pounds),,Made in Sweden.,,Wet multi-disc clutch,26.5°,,292 mm (11.5 inches),335 mm (13.2 inches),210 mm (8.3 inches),,,,,355 mm (14.0 inches),,,,,,12V 3Ah battry,,,,,,,,,,,,,,,,,,,
Longjia Maxx 50 2T,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,CDI,,Air,Automatic,Belt   (final drive),Telecsopic fork,Swing arm,130/60-13 ,130/60-13 ,Single disc,Expanding brake (drum brake),,1160 mm (45.7 inches),2045 mm (80.5 inches),695 mm (27.4 inches),1425 mm (56.1 inches),6.00 litres (1.59 US gallons),Orange/grey/white,Electric & kick,,3.8 HP (2.7  kW)) @ 7000 RPM,,,,,,95.0 kg (209.4 pounds),0.0395 HP/kg,,,,,,,,,,,,,,,45.0 km/h (28.0 mph),,,,12V7AH battery.,,,,,,,,,,,,,,,,,,,
