Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
Yamaha Vixion Yamaha Movistar,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.5 ccm (9.12 cubic inches),"Single cylinder, four-stroke",16.4 HP (11.9  kW)) @ 8500 RPM,14.5 Nm (1.5 kgf-m or 10.7 ft.lbs) @ 7500 RPM,10.6:1,57.0 x 58.7 mm (2.2 x 2.3 inches),Liquid,5-speed,Chain   (final drive),Deltabox,Telescopic Hydraulic,Swingarm.  Monocross suspsension.,Single disc,,Single disc,,132.0 kg (291.0 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1025 mm (40.4 inches),1955 mm (77.0 inches),720 mm (28.3 inches),165 mm (6.5 inches),1295 mm (51.0 inches),12.00 litres (3.17 US gallons),Blue,Electric,,Injection,Wet sump,90/80-17 ,130/70-17 ,,,,Single Overhead Cams (SOHC), T.C.I," Wet Multiple-disc, asist and slipper clutch",,,,,,26.0°,,,,,,,Digital,,,LED headlight,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 800 XR,2018,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,799.0 ccm (48.75 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 9300 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 7850 RPM,11.3:1,74.0 x 61.9 mm (2.9 x 2.4 inches),Liquid,6-speed,Chain   (final drive),"Tubular steel trellis. Twin-­sided, cast aluminium alloy swingarm.","Showa 43mm upside down forks, ",Showa monoshock with hydraulically adjustable preload,"Double disc. Floating discs, Nissin 2-piston sliding calipers, Switchable ABS. ",255 mm (10.0 inches),"Single disc. Nissin single piston sliding caliper, Switchable ABS.",Cast aluminium alloy 10-­spoke,,"810 mm (31.9 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),2215 mm (87.2 inches),795 mm (31.3 inches),,1545 mm (60.8 inches),19.00 litres (5.02 US gallons),"Jet Black, Crystal White",Electric,Windscreen,Injection. Multipoint sequential electronic fuel injection,,100/90-19 ,150/70-R17 ,199.0 kg (438.7 pounds),,4,Double Overhead Cams/Twin Cam (DOHC),,Wet. multi-plate,O ring chain,3.65 litres/100 km (27.4 km/l or 64.44 mpg),84.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Stainless steel 3 into 1. high level stainless steel silencer,23.9°,92 mm (3.6 inches),180 mm (7.1 inches),170 mm (6.7 inches),,0.4774 HP/kg,"830 mm (32.7 inches) If adjustable, highest setting.","LCD multi-functional instrument pack with digital speedometer, trip computer, analogue tachometer, gear position indicator, fuel gauge, service indicator, switchable ABS and clock",24 months unlimited milage,,,,,3.70 litres (3.91 US quarts),,,,,,,,,,,,,,,,,,,,,
AJS Cadwell 125,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.9 HP (7.2  kW)) @ 9000 RPM,,,54.0 x 54.0 mm (2.1 x 2.1 inches),Air,5-speed,Chain   (final drive),,Telescopic fork,Twin shocks,Double disc,,Single disc,,,"740 mm (29.1 inches) If adjustable, lowest setting.",1060 mm (41.7 inches),2040 mm (80.3 inches),720 mm (28.3 inches),,1330 mm (52.4 inches),11.20 litres (2.96 US gallons),"Black, white",Electric & kick,Sold in the UK.,Injection,,110/70-17 ,130/70-17 ,113.0 kg (249.1 pounds),,,Overhead Cams (OHC),Coil CDI,"Wet, multiplate",,,,Euro 4,,,,,,,0.0878 HP/kg,,,,12V ,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 350 SX-F,2018,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.7 ccm (21.34 cubic inches),"Single cylinder, four-stroke",,,14.0:1,88.0 x 57.5 mm (3.5 x 2.3 inches),Liquid,5-speed,Chain   (final drive),25CrMo4 steel central-tube,"WP-USD, AER 48, Ø 48 mm",WP shock absorber with linkage,Single disc,220 mm (8.7 inches),Single disc,CNC machined hubs. Excel rims. Wire spoked.,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,370 mm (14.6 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),Orange/white/black,Electric,,Injection,,,,99.8 kg (220.0 pounds),Balancer shaft,,Double Overhead Cams/Twin Cam (DOHC),Keihin EMS,,5/8 x 1/4,,,,,26.5°,,300 mm (11.8 inches),300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster SuperLow  1200T,2018,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1202.0 ccm (73.35 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 6000 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 3500 RPM,10.0:1,88.9 x 96.8 mm (3.5 x 3.8 inches),Air,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,Single disc. Optional ABS. Two-piston calliper.,,Single disc. Optional ABS. Two-piston calliper.,"Black/Silver, Split 5-Spoke Cast Aluminum",274.0 kg (604.1 pounds),"705 mm (27.8 inches) If adjustable, lowest setting.",,2210 mm (87.0 inches),,95 mm (3.7 inches),1500 mm (59.1 inches),17.03 litres (4.50 US gallons),"Vivid Black, Black Tempest, Wicked Red, Silver Fortune/Sumatra Brown, Electric Blue/Silver Fortune",Electric,Windscreen,Injection. Electronic Sequential Port Fuel Injection (ESPFI),,120/70-ZR18 ,150/70-ZR17 ,263.0 kg (579.8 pounds),Evolution engine,,,,Multi-plate with diaphragm spring in oil bath,"Chain, 34/57 ratio primary drive",5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Chrome, staggered, shorty exhaust with dual mufflers",31.1°,145 mm (5.7 inches),,,,0.2586 HP/kg,,"Handlebar-mounted electronic speedometer with odometer, time-of-day clock, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",Saddle bags,,2.60 litres (2.75 US quarts),,,,,,,,,,,,,,,,,,,,,
Suzuki V-Strom 250,2018,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Twin, four-stroke",25.0 HP (18.2  kW)) @ 8000 RPM,23.4 Nm (2.4 kgf-m or 17.3 ft.lbs) @ 6500 RPM,11.5:1,53.5 x 55.2 mm (2.1 x 2.2 inches),Liquid,6-speed,Chain   (final drive),,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",Single disc. ABS,,Single disc. ABS,10-spoke wheels,188.0 kg (414.5 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2150 mm (84.6 inches),790 mm (31.1 inches),160 mm (6.3 inches),1425 mm (56.1 inches),17.00 litres (4.49 US gallons),"Black, red, black/yellow",Electric,,Injection,Wet sump,110/80-17 ,140/70-17 ,,,,Single Overhead Cams (SOHC),Electronic ignition,,,2.66 litres/100 km (37.6 km/l or 88.43 mpg),61.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,150 mm (5.9 inches),160 mm (6.3 inches),,,,LCD instrument panel,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 R Exclusive,2018,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1170.0 ccm (71.39 cubic inches),"Twin, four-stroke",125.0 HP (91.2  kW)) @ 7750 RPM,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 6500 RPM,12.5:1,101.0 x 73.0 mm (4.0 x 2.9 inches),Liquid,6-speed,Shaft drive (cardan)   (final drive),"Two-section frame, front- and bolted on rear frame, load-bearing engine","Upside-down telescopic fork. diameter 45 mm, silver-anodized","Cast aluminium single-sided swing-arm with BMW Motorrad Paralever; WAD travel-related damping strut, spring pre-load steplessly and hydraulically adjustable via handwheel, adjustable rebound damping",Double disc. ABS. Four-piston calipers. ,276 mm (10.9 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,232.0 kg (511.5 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),2165 mm (85.2 inches),880 mm (34.6 inches),,1515 mm (59.6 inches),18.00 litres (4.76 US gallons),Iced Chocolate Metallic,Electric,Switchable ABS. Riding Modes Rain and Road. Cruise Control. Gold Forks.,"Injection. Digital engine management with electronic fuel injection, electronic throttle valve control (fly by wire)",Dry sump,120/70-ZR17 ,180/55-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),,"Wet eight-disc clutch with anti-hopping function, hydraulically operated",,4.96 litres/100 km (20.2 km/l or 47.42 mpg),115.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-­loop 3-­way catalytic converter, emission standard EU-­4",,27.7°,126 mm (4.9 inches),140 mm (5.5 inches),140 mm (5.5 inches),,,,,,,,,3.00 litres (0.79 US gallons),,200.0 km/h (124.3 mph),,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R6,2018,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",123.5 HP (90.1  kW)) @ 14500 RPM,67.5 Nm (6.9 kgf-m or 49.8 ft.lbs) @ 10500 RPM,13.1:1,67.0 x 42.5 mm (2.6 x 1.7 inches),Liquid,6-speed,Chain   (final drive),Deltabox aluminum frame. Magnesium subframe.,"43mm KYB® inverted fork, 3-way adjustable","KYB® piggyback shock, 4-way adjustable",Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,220 mm (8.7 inches),Single disc. ABS. Single-piston caliper. ,,190.1 kg (419.0 pounds),"851 mm (33.5 inches) If adjustable, lowest setting.",1095 mm (43.1 inches),2040 mm (80.3 inches),706 mm (27.8 inches),,1374 mm (54.1 inches),17.03 litres (4.50 US gallons),"Matte Gray, Team Yamaha Blue, Intensity White/Matte Silver",Electric,Traction control,Injection. Fuel Injection with YCC-T and YCC-I,,120/70-ZR17 ,180/55-ZR17 ,,Titanium valves,4,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,,O-ring chain,6.60 litres/100 km (15.2 km/l or 35.64 mpg),153.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,24.0°,97 mm (3.8 inches),119 mm (4.7 inches),119 mm (4.7 inches),,,,"Multifunction digital and analog instrumentation features: programmable shift light, digital speedometer, analog tachometer, dual tripmeters with miles-on-reserve function, odometer, water temp gauge and lights for neutral, high beam, low fuel and turn signals.",1 Year Limited Factory Warranty,,Dual LED position lights ,,,2.60 litres (2.75 US quarts),,,,,,,,,,,,,,,,,,,,,
Suzuki V-Strom 1000,2018,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1037.0 ccm (63.28 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 4000 RPM,11.3:1,100.0 x 66.0 mm (3.9 x 2.6 inches),Liquid,6-speed,Chain   (final drive),,"Inverted telescopic, coil spring, oil damped","Link type, single shock, coil spring, oil damped",Double disc. Tokico 4-piston calipers,260 mm (10.2 inches),"Single disc. Nissin, 2-piston",,232.0 kg (511.5 pounds),"850 mm (33.5 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),2088 mm (82.2 inches),,165 mm (6.5 inches),1555 mm (61.2 inches),20.00 litres (5.28 US gallons),Pearl Glacier White,Electric,Traction Control System,Injection,Wet sump,110/80-R19 ,150/70-R17 ,,90-degree V-twin,4,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),,,3.99 litres/100 km (25.1 km/l or 58.95 mpg),92.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Black Yoshimura Hepta Force silencer,25.7°,109 mm (4.3 inches),,,,,,,12 month unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SZ-RR Version 2.0,2018,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 7500 RPM,12.8 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 6000 RPM,,,Air,5-speed,Chain   (final drive),"Diamond, tubular",Telescopic Hydraulic,"Ajustable, Hydraulic Shock Absorber",Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,134.0 kg (295.4 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),2050 mm (80.7 inches),760 mm (29.9 inches),165 mm (6.5 inches),1295 mm (51.0 inches),14.00 litres (3.70 US gallons),"Black, blue, green",Electric & kick,Sold in India.,Carburettor,Wet sump,2.75-17 ,100/90-17 ,,,2,Single Overhead Cams (SOHC),CDI,"Wet, multiple-disc",,,,,,,,,,,,,,,,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Fat Boy 114,2018,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1868.0 ccm (113.99 cubic inches),"V2, four-stroke",94.0 HP (68.6  kW)) @ 5020 RPM,155.0 Nm (15.8 kgf-m or 114.3 ft.lbs) @ 3000 RPM,10.5:1,102.0 x 114.3 mm (4.0 x 4.5 inches),Air,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,Double disc. ABS. 4-piston. ,,Single disc. ABS. 2-piston.,"Machined, Lakester cast aluminum",317.0 kg (698.9 pounds),"675 mm (26.6 inches) If adjustable, lowest setting.",,2370 mm (93.3 inches),,115 mm (4.5 inches),1665 mm (65.6 inches),18.93 litres (5.00 US gallons),"Vivid Black, Black Tempest, Industrial Gray, Bonneville Salt Pearl, Wicked Red/Twisted Cherry, Legend Blue/Vivid Black, Legend Blue Denim",Electric,,Injection. Electronic Sequential Port Fuel Injection,,160/60-R18 ,240/40-R18 ,304.0 kg (670.2 pounds),Milwaukee-Eight114 Big Twin,,Double Overhead Cams/Twin Cam (DOHC),,Multi-plate with diaphragm spring in oil bath,"Primary chain, 34/46 ratio",5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2-into-2 staggered; catalyst in header ,30.0°,104 mm (4.1 inches),,,,0.3092 HP/kg,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,
MH Bogga 125,2018,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",9.4 HP (6.9  kW)) @ 7500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,54.0 x 54.0 mm (2.1 x 2.1 inches),Air,5-speed,Chain   (final drive),Double-cradle steel frame,Upside-down fork Ø38 mm,Hydraulic shock-absorbers with spring and external gas tank ,Single disc. CBS. Hydraulic. Twin piston.,220 mm (8.7 inches),Single disc. Hydraulic. ,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2050 mm (80.7 inches),740 mm (29.1 inches),,1310 mm (51.6 inches),18.00 litres (4.76 US gallons),"Grey, black",Electric,Brand previously called Motorhispania. Made in Spain.,Injection. DElphi,,110/90-17 ,130/80-17 ,130.0 kg (286.6 pounds),,2,,C.D.I.,"Wet, multidisk",,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,,,,,0.0723 HP/kg,,,,,,,,,105.0 km/h (65.2 mph),,,,,,,,,,,,,,,,,,,,
UM Renegade Sport S,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 9500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,11.0:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Liquid,5-speed,Chain   (final drive),,Hydraulic Telescopic fork,Hydraulic Telescopic. /Gas - Spring Shockabsorber.,Single disc. Hydraulic. ,280 mm (11.0 inches),Expanding brake (drum brake),,,"770 mm (30.3 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2280 mm (89.8 inches),800 mm (31.5 inches),140 mm (5.5 inches),1550 mm (61.0 inches),18.00 litres (4.76 US gallons),"Orange, Silver, Red",Electric & kick,,Injection. Mikuni,,110/80-17 ,140/80-15 ,153.0 kg (337.3 pounds),,,,CDI,,,,,Euro IV,,,,110 mm (4.3 inches),65 mm (2.6 inches),,0.0789 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Bullet 500,2018,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.2 HP (19.9  kW)) @ 5250 RPM,41.3 Nm (4.2 kgf-m or 30.5 ft.lbs) @ 4000 RPM,8.5:1,84.0 x 90.0 mm (3.3 x 3.5 inches),Air,5-speed,Chain   (final drive),Single downtube,"Telescopic fork, 35mm",Twin gas charged shock absorbers with 5-step adjustable preload,Single disc. 2-piston calipers,153 mm (6.0 inches),Expanding brake (drum brake),Wire spoked,194.0 kg (427.7 pounds),,1090 mm (42.9 inches),2140 mm (84.3 inches),790 mm (31.1 inches),135 mm (5.3 inches),1360 mm (53.5 inches),13.50 litres (3.57 US gallons),"Black, forest green, marsh grey",Electric & kick,Brand full name is Royal Enfield. Made in India.,Injection,Wet sump,90/90-19 ,120/80-18 ,,Twin spark,2,Overhead Valves (OHV),Digital electronic ignition,"Wet, manual multiple discs",,,,,,,,130 mm (5.1 inches),80 mm (3.1 inches),Dual seat,,,Analogue,2 years unlimited milage,"12 volt, 14 Ah battery",,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Thunderbird X 350,2018,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",19.8 HP (14.5  kW)) @ 5600 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 4000 RPM,7.3:1,70.0 x 90.0 mm (2.8 x 3.5 inches),Air,5-speed,Chain   (final drive),"Single downtube, using engine as stressed member","Telescopic With Hydraulic Damping, 41 mm.",Swing arm With Gas Shock Absorbers.,"Single disc. Two piston caliper, ventilated disc.",240 mm (9.4 inches),"Single disc. Single piston caliper, ventilated disc.","Cast, 9-spoke",195.0 kg (429.9 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2040 mm (80.3 inches),830 mm (32.7 inches),135 mm (5.3 inches),1350 mm (53.1 inches),20.00 litres (5.28 US gallons),"Blue, red, white, orange",Electric & kick,Brand full name is Royal Enfield. The bikes are made in India. ,Carburettor. CV type,Wet sump,90/90-19 ,120/80-18 ,,Twin spark,,Overhead Valves (OHV),TCI,Wet mulitiplate,,,,,,,,130 mm (5.1 inches),80 mm (3.1 inches),,,,,,12V,55/55 W Halogen headlamp,,,,120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,
Haojin Ares HJ150-26,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,,,Air,,Chain   (final drive),,Telescopic fork,Twin shocks,Single disc,,Expanding brake (drum brake),"Black, 5-spoke",,,1120 mm (44.1 inches),2065 mm (81.3 inches),735 mm (28.9 inches),,1320 mm (52.0 inches),14.00 litres (3.70 US gallons),"Red/white, black, blue, red",Electric & kick,Chinese made bike.,Carburettor,,2.75-18 ,110/90-17 ,130.0 kg (286.6 pounds),,,,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,Digital,,,LED,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Turismo Veloce 800 RC,2018,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",110.0 HP (80.3  kW)) @ 10150 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 8000 RPM,12.2:1,79.0 x 54.3 mm (3.1 x 2.1 inches),Oil & air,6-speed,Chain   (final drive),ALS Steel tubular trellis (MAG welded,Marzocchi “UPSIDE DOWN” telescopic hydraulic fork with rebound-compression damping and spring preload external and separate adjustment.,"Progressive Sachs, single shock absorber with rebound and compression damping and spring preload adjustment",Double disc. ABS. Brembo.,220 mm (8.7 inches),Single disc. ABS. Brembo.,Aluminium alloy. Red rims.,,"850 mm (33.5 inches) If adjustable, lowest setting.",,2125 mm (83.7 inches),910 mm (35.8 inches),140 mm (5.5 inches),1445 mm (56.9 inches),,Red/white/green,Electric,Windscreen.,Injection,,120/70-ZR17 ,190/55-ZR17 ,192.0 kg (423.3 pounds),Counter-rotating crankshaft,4,Double Overhead Cams/Twin Cam (DOHC),Motor and Vehicle Integrated Control System,"Hydraulic clutch, wet multi-disc with slipper clutch",,,,Euro 4,,,95 mm (3.7 inches),160 mm (6.3 inches),160 mm (6.3 inches),,0.5729 HP/kg,,,,12V 11 Ah battery.,LED headlight,Saddle bags,,,230.0 km/h (142.9 mph),,,,,,,,,,,,,,,,,,,,
Yamaha XV950 Racer,2018,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,942.0 ccm (57.48 cubic inches),"V2, four-stroke",51.4 HP (37.5  kW)) @ 5500 RPM,79.5 Nm (8.1 kgf-m or 58.6 ft.lbs) @ 8100 RPM,9.0:1,85.0 x 83.0 mm (3.3 x 3.3 inches),Air,5-speed,Belt   (final drive),Double cradle,"Telescopic forks,  41  mm",Swingarm,Single disc. Wave disc. ABS.,298 mm (11.7 inches),Single disc. Wave disc. ABS.,"12-spoke cast wheels, black",251.0 kg (553.4 pounds),"765 mm (30.1 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2295 mm (90.4 inches),830 mm (32.7 inches),130 mm (5.1 inches),1570 mm (61.8 inches),12.00 litres (3.17 US gallons),"Yellow, matte grey",Electric,,Injection,Wet sump,100/90-19 ,150/80-16 ,,,4,Single Overhead Cams (SOHC),TCI,"Wet, Multiple Disc",Constant Mesh,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2-into-1 exhaust pipe,29.0°,130 mm (5.1 inches),135 mm (5.3 inches),110 mm (4.3 inches),Single seat,,,,,,,,4.00 litres (1.06 US gallons),4.30 litres (4.54 US quarts),,,,,,,,,,,,,,,,,,,,,
