Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
Moto Guzzi V85 TT Guardia dOnore,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,853.0 ccm (52.05 cubic inches),"V2, four-stroke",,84.0 x 77.0 mm (3.3 x 3.0 inches),2,Injection,Overhead Valves (OHV),Air,Shaft drive (cardan)   (final drive),,"Upside down hydraulic telescopic fork Ø 41 mm, with adjustable extension  and spring preload. ",,"Swingarm Twin-sided with lateral mono shock absorber, adjustable  extension and spring preload.",,110/80-19 ,150/70-17 ,Double disc. Radial Brembo calipers with  4 opposed pistons. ABS.,Single disc. Floating 2 pistons caliper. ABS.,243.0 kg (535.7 pounds),"803 mm (31.6 inches) If adjustable, lowest setting.",,,,150 mm (5.9 inches),1450 mm (57.1 inches),23.00 litres (6.08 US gallons),Glossy black,Electric,,Transversal 90° V-twin. Titanium intake.,76.0 HP (55.5  kW)) @ 7500 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 5000 RPM,,,6-speed,Dry single disc,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,Tubular steel,28.0°,260 mm (10.2 inches),Cross spoked tubeless wheel.,,211.0 kg (465.2 pounds),0.3602 HP/kg,Colour TFT instrument panel ,,"Ride by Wire, 5 Riding Mode (Street, Rain, Offroad, Sport, Custom), Cruise Control, large windshield. Limited edition.",,104 mm (4.1 inches),,1.80 litres (1.9 US quarts),LED lights,,,,,,,,,,Electronic,5.00 litres (1.32 US gallons),,,,,,,,,,,,,
Pitster Pro FSE 60,2022,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,60.0 ccm (3.66 cubic inches),"Single cylinder, four-stroke",,44.0 x 37.0 mm (1.7 x 1.5 inches),4,Carburettor,,Air,Chain   (final drive),,Inverted fork,147 mm (5.8 inches),"Linkage, oil filled, preload adjustment",132 mm (5.2 inches),1.60-10 ,2.50-10 ,Single disc,Single disc,98.0 kg (216.1 pounds),"546 mm (21.5 inches) If adjustable, lowest setting.",787 mm (31.0 inches),1168 mm (46.0 inches),584 mm (23.0 inches),152 mm (6.0 inches),927 mm (36.5 inches),2.84 litres (0.75 US gallons),White/black/red ,Electric,,,,,,,Automatic,Auto,,,,Reinforced tube steel,27.1°,,,,,,,,,Oil pump with stainless reusable cartridge oil filter,110 mm (4.3 inches),,,,,,,,,,,,,CDI,,,,,,,,,,,,,,
Brixton Crossfire 125 ,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,,Injection,,Liquid,Chain   (final drive),,Teleskopic fork upside-down,,Swingarm with single shock absorber,,120/70-18 ,140/70-17 ,Single disc,Single disc,148.0 kg (326.3 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),2104 mm (82.8 inches),770 mm (30.3 inches),,,,"Charley Brown Matt, Bullet Silver

",Electric,,,13.4 HP (9.8  kW)) @ 9500 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 5500 RPM,99.0 km/h (61.5 mph),,,,,,,,,218 mm (8.6 inches),,,,,,,,,,,,,,,,,,,,,,ECU,,,,,,,,,,,,,,
Polaris Sportsman Touring 570 ,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,567.0 ccm (34.60 cubic inches),"Single cylinder, four-stroke",,,,Injection. Electronic Fuel Injection ,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive (cardan)   (final drive),One Touch On-Demand AWD/2WD. Automatic PVT P/R/N/L/H.,MacPherson Strut ,208 mm (8.2 inches),"Dual A-Arm, IRS",241 mm (9.5 inches),25/8-12 ,25/10-12 ,Single disc,Single disc,,"857 mm (33.7 inches) If adjustable, lowest setting.",1219 mm (48.0 inches),2184 mm (86.0 inches),1219 mm (48.0 inches),279 mm (11.0 inches),1422 mm (56.0 inches),25.55 litres (6.75 US gallons),Sonic Blue,Electric,,ProStar Engine,44.0 HP (32.1  kW)),,,,Automatic,,,,,,,,Stamped Steel ,Two person seat,330.0 kg (727.5 pounds),0.1333 HP/kg,"All Digital Gauge, Speedometer, Odometer, Tachometer, 2 Tripmeters, Hour Meter, Gear Indicator, Fuel Gauge, AWD Indicator, Volt Meter, Coolant Temperature, Hi-Temp Light, Clock, DC Outlet",,"Various equipment options, eg. electronic power steering (EPS).",,,,,"Triple 50w High Beam, Dual 50w Low Beam Headlights; Dual Brakelights/Taillights","Lock  and  Ride, 6 Gal (23 L) Front Dry Storage, 2 Gal (8 L) Rear Storage",,,,,,,,,,,,,,,,,,,,,,,
BMW Concept 101,2022,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1649.0 ccm (100.62 cubic inches),"In-line six, four-stroke",12.2:1,72.0 x 67.5 mm (2.8 x 2.7 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive (cardan)   (final drive),,,,,,,,Double disc. ABS. ,Single disc. ABS. ,,,,,,,,,Silver/black/brown,Electric,,,158.2 HP (115.5  kW)) @ 7750 RPM,175.0 Nm (17.8 kgf-m or 129.1 ft.lbs) @ 5250 RPM,200.0 km/h (124.3 mph),,6-speed,,5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,"Cast aluminium, black",,,,,,"Brushed aluminium, carbon and dark wood applications",Dry sump,,,,,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,
Beta RR 50 Racing,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",12.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),,Carburettor. Dell´Orto PHBN 16 HS,,Liquid,Chain   (final drive),,Hydraulic fork with ø41 mm shaft,265 mm (10.4 inches),Monoshock with adjustable spring preload,255 mm (10.0 inches),90/90-21 ,120/90-18 ,Single disc. Wave disc,Single disc. Wave disc,,"935 mm (36.8 inches) If adjustable, lowest setting.",1205 mm (47.4 inches),2090 mm (82.3 inches),810 mm (31.9 inches),345 mm (13.6 inches),1428 mm (56.2 inches),6.50 litres (1.72 US gallons),Red/blue/white,Kick,,,,,,,6-speed,Wet multi-disc clutch,2.41 litres/100 km (41.5 km/l or 97.60 mpg),55.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Steel double cradle frame,,220 mm (8.7 inches),,,,,,,,Mixture 2%,,,,,,,,,,,,,,Electronic Moric,1.00 litres (0.26 US gallons),,,,,,,,,,,,,
Yamaha FZ-X,2022,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",9.6:1,57.3 x 57.9 mm (2.3 x 2.3 inches),2,Injection,Single Overhead Cams (SOHC),Air,Chain   (final drive),,Telescopic fork,,7-Step Adjustable Monocross,,100/80-17 ,140/60-17 ,Single disc. ABS,Expanding brake (drum brake). ABS,139.0 kg (306.4 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2020 mm (79.5 inches),785 mm (30.9 inches),165 mm (6.5 inches),1330 mm (52.4 inches),10.00 litres (2.64 US gallons),"Matte Copper, Matte Black, Metallic Blue",Electric,,,12.4 HP (9.1  kW)) @ 7250 RPM,13.3 Nm (1.4 kgf-m or 9.8 ft.lbs) @ 5500 RPM,,,5-speed,"Wet, multiple-disc",,,,,25.0°,220 mm (8.7 inches),,,,,LCD instruments,,Sold in Asia.,"Force-feed lubrication, wet sump",101 mm (4.0 inches),,,Bi-Functional LED,,,,,,,,,,TCI,,,,,,,,,,,,,,
Neco Dinno 50,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",,,,Injection,,Air,Belt   (final drive),CVT,Telescopic fork,,Monoshock,,3.50-10 ,3.50-10 ,Single disc,Expanding brake (drum brake),,,1120 mm (44.1 inches),1780 mm (70.1 inches),650 mm (25.6 inches),,,6.80 litres (1.80 US gallons),"Mat Dark Blue, Black, Nardo Gre ",Electric & kick,2 years,,3.0 HP (2.2  kW)) @ 7500 RPM,,45.0 km/h (28.0 mph),,Automatic,,,,Euro 5,,,,,Dual seat,97.0 kg (213.8 pounds),0.0304 HP/kg,Digital and analogue,,Belgian brand. Chinese made retroscooter. Sold in parts of Europe. ,,,,,LED headlight,Rear rack,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Address ,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,113.0 ccm (6.90 cubic inches),"Single cylinder, four-stroke",9.4:1,51.0 x 55.2 mm (2.0 x 2.2 inches),,Injection,Single Overhead Cams (SOHC),Air,Belt   (final drive),,"Telescopic, Coil Spring, Oil Damped",,"Swing Arm Type, Coil Spring, Oil Damped",,80/90-14 ,90/90-14 ,Single disc,Expanding brake (drum brake),100.0 kg (220.5 pounds),"755 mm (29.7 inches) If adjustable, lowest setting.",1095 mm (43.1 inches),1845 mm (72.6 inches),665 mm (26.2 inches),120 mm (4.7 inches),1260 mm (49.6 inches),5.20 litres (1.37 US gallons),"Pearl Brilliant White, Metallic Mat Stellar Blue",Electric & kick,,,,,,,Automatic,CVT,1.62 litres/100 km (61.7 km/l or 145.20 mpg),37.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,25.5°,,,,,,,"12V, 5Ah battery.",,Wet sump,97 mm (3.8 inches),,0.80 litres (0.85 US quarts),,,,,,,,,,,Transistorized,,,,,,,,,,,,,,
Yamaha YZF-R7 World GP,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,689.0 ccm (42.04 cubic inches),"Twin, four-stroke",11.5:1,80.0 x 68.6 mm (3.1 x 2.7 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,"Telescopic fork, adjustable for preload, rebound and compression",130 mm (5.1 inches),"Linked-type Monocross shock, adjustable preload and rebound",130 mm (5.1 inches),120/70-ZX17 ,180/55-ZX17 ,Double disc. ABS. Hydraulic.,Single disc. ABS. Hydraulic..,187.8 kg (414.0 pounds),"836 mm (32.9 inches) If adjustable, lowest setting.",1161 mm (45.7 inches),2070 mm (81.5 inches),706 mm (27.8 inches),135 mm (5.3 inches),1394 mm (54.9 inches),12.87 litres (3.40 US gallons),Heritage White/Redline,Electric,1 Year Limited Factory Warranty,,,,,,6-speed,Multiplate wet clutch; with assist  and  slipper,4.06 litres/100 km (24.6 km/l or 57.94 mpg),94.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Deltabox aluminum frame. Magnesium subframe.,23.7°,245 mm (9.6 inches),Bridgestone BATTLAX HYPERSPORT S22 tires,,,,Full-LCD instrument panel,,,Wet Sump,89 mm (3.5 inches),,2.60 litres (2.75 US quarts),Adaptive bi-functional LED headlight,,,,,,,,,,TCI: Transistor Controlled Ignition,,,,,,,,,,,,,,
Yamaha XMAX 300 Tech MAX,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",10.9:1,70.0 x 75.9 mm (2.8 x 3.0 inches),4,Injection,Single Overhead Cams (SOHC),Liquid,Belt   (final drive),V-Belt Automatic,Telescopic forks,110 mm (4.3 inches),Unit Swing,84 mm (3.3 inches),120/70-15 ,140/70-14 ,Single disc. Hydraulic. ABS.,Single disc. Hydraulic. ABS.,180.0 kg (396.8 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),2185 mm (86.0 inches),775 mm (30.5 inches),135 mm (5.3 inches),1540 mm (60.6 inches),13.00 litres (3.43 US gallons),"Dark Petrol, Power Grey",Electric,,Euro 5  Blue Core engine,27.6 HP (20.2  kW)) @ 7250 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 5750 RPM,,,Automatic,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,Underbone,,245 mm (9.6 inches),,,,,LCD instrument panel,,Traction Control. Keyless. Windscreen.,Wet sump,,,1.30 litres (1.37 US quarts),"Dual LED front lights, LED taillight",Under-seat storage for 2 full-face helmets,,,,,,,,,TCI,,,,,,,,,,,,,,
Suzuki DR200SE,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",,66.0 x 58.2 mm (2.6 x 2.3 inches),,,Single Overhead Cams (SOHC),Air,Chain   (final drive),,"Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,70/100-21 ,90/100-18 ,Single disc,Expanding brake (drum brake),126.0 kg (277.8 pounds),"850 mm (33.5 inches) If adjustable, lowest setting.",1185 mm (46.7 inches),2220 mm (87.4 inches),940 mm (37.0 inches),260 mm (10.2 inches),1405 mm (55.3 inches),12.50 litres (3.30 US gallons),"Solid Black, Solid Special White",Electric,"12 Months, Unlimited Kilomtres",,,,,,5-speed,,,,,,,,,,,,,,,,,,,,Rear rack,,,,,,,,,,,,,,,,,,,,,,,
Benelli Leoncino 500 Trail ES,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.6 ccm (30.49 cubic inches),"Twin, four-stroke",11.5:1,69.0 x 66.8 mm (2.7 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,Telescopic forks,135 mm (5.3 inches),Telescopic coil spring oil damped,55 mm (2.2 inches),110/80-R19 ,150/70-R17 ,Double disc,Single disc,,"840 mm (33.1 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2160 mm (85.0 inches),875 mm (34.4 inches),190 mm (7.5 inches),1460 mm (57.5 inches),12.70 litres (3.36 US gallons),"Red, Black, Silver, Green",Electric,,,47.6 HP (34.7  kW)) @ 8500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 6000 RPM,,,6-speed,Wet multi-plate,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Arch bar truck,,260 mm (10.2 inches),Aluminum alloy,,207.0 kg (456.4 pounds),0.2300 HP/kg,,,,Pressure splash,,,,LED headlight,,,,,,,,,,TLI,3.00 litres (0.79 US gallons),,,,,,,,,,,,,
Aprilia RSV4,2022,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1099.0 ccm (67.06 cubic inches),"V4, four-stroke",13.6:1,85.0 x 52.3 mm (3.3 x 2.1 inches),4,"Injection. Airbox with front dynamic air intakes. 4 Weber-Marelli 48-mm throttle bodies with 4 injectors and latest generation Ride-by-Wire engine management. Choice of three different engine maps selectable by the rider with bike in motion: T (Track), S (Sport), R ",Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),"Straight cut gears and integrated flexible coupling, drive ratio: 73/44 primary drive. Chain 42/16 final drive.","Sachs fork 43mm stanchions, adjustable compression and rebound",127 mm (5.0 inches),ON Sachs monoshock adjustable in: hydraulic compression and rebound damping and spring pre-load,130 mm (5.1 inches),120/70-ZR17 ,200/55-ZR17 ,Double disc. ABS. Ø 330 mm floating double disc with aluminium flange Brembo STYLEMA® 4-piston mono-block radial calipers Radial pump and metal braid brake pipe-,Single disc. ABS. Brembo Ø 32 mm 2 isolated piston caliper pump with integrated tank and metal braid pipp,202.0 kg (445.3 pounds),"845 mm (33.3 inches) If adjustable, lowest setting.",1090 mm (42.9 inches),2055 mm (80.9 inches),735 mm (28.9 inches),125 mm (4.9 inches),1439 mm (56.7 inches),18.50 litres (4.89 US gallons),Dark Losail ,Electric,,Longitudinal 65° V4,217.0 HP (158.4  kW)) @ 13000 RPM,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 10500 RPM,,12300,6-speed,Multiplate wet clutch with mechanical slipper system.,6.90 litres/100 km (14.5 km/l or 34.09 mpg),160.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,Aluminium dual beam chassis with cast and pressed sheet elements. (Sachs steering damper on APRC version),24.6°,220 mm (8.7 inches),Aprilia in aluminium alloy wheels with 3 split spoke design,,179.0 kg (394.6 pounds),1.2123 HP/kg,TFT instrumentation ,Flywheel mounted 420W alternator with rare earth magnets.,"APRC (Aprilia Performance Ride Control) system including traction control (ATC), wheelie control (AWC), launch control (ALC), quick shift (AQS), cruise control (ACC), pit limiter (APL), cornering ABS,
all independently settable and de-selectable. Ride By Wire with 3 engine mappings (Sport, Race, Track)
",Wet sump lubrication system with oil radiator and two oil pumps (lubrication and cooling),105 mm (4.1 inches),,,"Triple LED headlight with two lights that illuminate the inside of the turn, increasing visibility when cornering.",,,,,,,,,"4 into 2 into 1 layout, single oxygen sensor, lateral single silencer with ECU-controlled bypass valve and integrated trivalent catalytic converter (Euro 3)","Magneti Marelli digital electronic ignition system integrated in engine control system, with one spark plug per cylinder and “stick-coil” type coils",4.00 litres (1.06 US gallons),,,,,,,,,,,,,
Triumph Tiger 900 Rally,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,888.0 ccm (54.19 cubic inches),"In-line three, four-stroke",11.3:1,78.0 x 61.9 mm (3.1 x 2.4 inches),4,Injection. Multi-point sequential ,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),O-ring chain ,"Showa 45 mm upside down forks, manual preload, rebound damping and compression damping adjustment",240 mm (9.4 inches),"Showa suspension unit, manual preload and rebound damping adjustmen",230 mm (9.1 inches),100/90-21 ,150/70-R17 ,"Double disc. Brembo radial-type monobloc, with 4 pistons. Multi-mode ABS, Optimized Cornering ABS.","Single disc. Brembo with single pistons. Multi-mode ABS, Optimized cornering ABS.",,"850 mm (33.5 inches) If adjustable, lowest setting.",1452 mm (57.2 inches),,935 mm (36.8 inches),,1556 mm (61.3 inches),20.00 litres (5.28 US gallons),"Pure White, Sapphire Black, Matte Khaki Green",Electric,,,93.9 HP (68.5  kW)) @ 8750 RPM,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 7250 RPM,196.0 km/h (121.8 mph),,6-speed,Wet multi-plate,5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,"Tubular steel, bolt on subframe. Twin-sided, cast aluminum alloy swingarm.",24.4°,255 mm (10.0 inches),Wire spoked,,196.0 kg (432.1 pounds),0.4789 HP/kg,"7 inch TFT multi­functional instrument pack with digital speedometer, trip computer, digital tachometer, gear position indicator, fuel gauge, service indicator, ambient temperature, clock and Riding Modes.",,Four riding modes. Traction control. Windscreen.,,146 mm (5.7 inches),"870 mm (34.3 inches) If adjustable, highest setting.",,,,,,,,,,,"Stainless steel 3-into-1 header system, side mounted stainless steel silencer",,,,,,,,,4.20 seconds,,,,10.30 seconds,,
MV Agusta Dragster Rosso,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",12.3:1,79.0 x 54.3 mm (3.1 x 2.1 inches),4,Injection. Mikuni Full Ride-By-Wire,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain   (final drive),"Cassette style; six speed, constant mesh",Marzocchi “UPSIDE DOWN” telescopic hydraulic fork with rebound-compression damping and spring preload external and separate adjustment,125 mm (4.9 inches),"Progressive Sachs, single shock absorber with rebound and compression damping and spring preload adjustment",130 mm (5.1 inches),120/70-ZR17 ,200/50-ZR17 ,"Double disc. ABS. Floating disc, 4-piston, Brembo","Single disc. ABS. 2-piston, Brembo.",,"845 mm (33.3 inches) If adjustable, lowest setting.",,2035 mm (80.1 inches),935 mm (36.8 inches),135 mm (5.3 inches),1400 mm (55.1 inches),16.50 litres (4.36 US gallons),Ago Red/ Metallic Carbon Black,Electric,,,112.0 HP (81.8  kW)) @ 11000 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 8500 RPM,237.0 km/h (147.3 mph),,6-speed,Multi-disc wet clutch with hydraulic actuation and back torque limiting device,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,ALS Steel tubular trellis,,220 mm (8.7 inches),Aluminium alloy ,,175.0 kg (385.8 pounds),0.6400 HP/kg,,12 V - 8.5 Ah battery.,"MV Ride App, GPS sensor, Bluetooth, Cruise control, Traction control.",,95 mm (3.7 inches),,,,,,,,,,,,,"Integrated ignition - injection system MVICS (Motor  and  Vehicle Integrated Control System) with three injectors Engine control unit Eldor EM2.0, throttle body full drive by wire Mikuni, pencil-coil with ion-sensing technology, control of detonation and ",,,,,,,,3.45 seconds,,,,,,
Beta RR 2T 125,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.2:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Carburettor. Keihin PWK36,,Air,Chain   (final drive),,Hydraulic USD fork with ø48 mm shaft,295 mm (11.6 inches),Monoshock with progressive compound lever,290 mm (11.4 inches),90/90-21 ,120/90-18 ,Single disc. Wave disk. 2-piston caliper.,Single disc. Wave disk. Single-piston caliper.,,"930 mm (36.6 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),2167 mm (85.3 inches),815 mm (32.1 inches),325 mm (12.8 inches),1477 mm (58.1 inches),9.50 litres (2.51 US gallons),Red/White/Black,Kick,,,,,,,6-speed,Wet multi-disc clutch,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Steel double cradle frame,,240 mm (9.4 inches),,,94.0 kg (207.2 pounds),,,,,Mixing,,,,,,,,,,,,,,AC Kokusan CDI,2.30 litres (0.61 US gallons),,,,,,,,,,,,,
Suzuki GSX-R1000R Phantom,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.8 ccm (61.01 cubic inches),"In-line four, four-stroke",,76.0 x 55.1 mm (3.0 x 2.2 inches),4,Injection. Ride-by-Wire throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),DID 525HV3 chain,Gold Showa Balance Free forks,120 mm (4.7 inches),"Link type, single shock, coil spring, oil damped ",130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. Brembo 4-piston. ABS.,Single disc. Nissin-1 piston. ABS.,202.0 kg (445.3 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2075 mm (81.7 inches),705 mm (27.8 inches),130 mm (5.1 inches),1485 mm (58.5 inches),16.00 litres (4.23 US gallons),Matt black/gold wheels,Electric,12 month unlimited mileage limited warranty.,Titanium valves,202.0 HP (147.4  kW)) @ 11500 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 10000 RPM,,,6-speed,"Wet, multi-plate ",,,,Twin-spar made of five cast sections,,220 mm (8.7 inches),,Passenger seat can exchanged with a color-matched solo tail cowl.,,,"LCD multifunction instrument panel, black background.",,"Special edition. 10-mode traction control and ABS, launch control, and three power modes.",Wet sump with oil cooler,,,,LED headlight,,,,,,,,,R11 silencer,,,,,,,525,120,,YTZ10S,,,,,
