Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
Veli ZQ150-15,2006,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.5 ccm (9.12 cubic inches),"Single cylinder, two-stroke",11.4 HP (8.3  kW)) @ 8000 RPM,,,,,,,Air,,,,,,70/90-17 ,80/90-17 ,Single disc,Expanding brake (drum brake),,1310 mm (51.6 inches),,,,,,,,,,130.0 kg (286.6 pounds),0.0876 HP/kg,1150 mm (45.3 inches),2050 mm (80.7 inches),720 mm (28.3 inches),,,,Electric & kick,,,,,,,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF 230 F,2006,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",,,65.5 x 66.2 mm (2.6 x 2.6 inches),Carburettor.  Keihin 37 mm flat-slide with throttle position sensor (TPS),Single Overhead Cams (SOHC),CDI,,Air,Chain   (final drive),,27.3°,37mm leading-axle Showa fork,Pro-Link Showa single-shock with spring-preload adjustability,80/70-21 ,100/90-18 ,Single disc,Expanding brake (drum brake),"866 mm (34.1 inches) If adjustable, lowest setting.",1374 mm (54.1 inches),9.0:1,6-speed,,,,,112 mm (4.4 inches),241 mm (9.5 inches),229 mm (9.0 inches),108.0 kg (238.0 pounds),,,,,297 mm (11.7 inches),8.32 litres (2.20 US gallons),Red,Electric & kick,Model ID: CRF230F,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Hip-Hop,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.1 HP (2.2  kW)) @ 7000 RPM,4.7 Nm (0.5 kgf-m or 3.5 ft.lbs) @ 3800 RPM,,Carburettor,,,,Air,,,,,,80/80-16 ,90/80-16 ,Single disc,Expanding brake (drum brake),,,,,,,,,,,,65.0 kg (143.3 pounds),0.0474 HP/kg,,,,,6.50 litres (1.72 US gallons),,,,105 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125 Dandy,2006,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.6 HP (9.2  kW)) @ 8200 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,,,,Air,Chain   (final drive),,,Telescopic forks 170mm,Central hydraulic,-.x. ,,Single disc,Single disc,"830 mm (32.7 inches) If adjustable, lowest setting.",1330 mm (52.4 inches),9.0:1,5-speed,,,,,,,,103.0 kg (227.1 pounds),0.1223 HP/kg,,,,,13.50 litres (3.57 US gallons),,Kick,,180 mm (7.1 inches),,,,,108.0 km/h (67.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Sidewinder Lowrider Hardtail,2006,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1750.0 ccm (106.79 cubic inches),"V2, four-stroke",112.0 HP (81.8  kW)) @ 5500 RPM,121.0 Nm (12.3 kgf-m or 89.2 ft.lbs) @ 4000 RPM,101.6 x 113.0 mm (4.0 x 4.5 inches),Carburettor,Overhead Valves (OHV),,,Air,,,35.0°,Inverted 63 mm forks with Titan billet tripple trees,Dual chromed agusta shocks,110/90-19 ,,Single disc. 4-piston calipers. Polished rotor.,Single disc. 4-piston calipers. Polished stainless rotor,"610 mm (24.0 inches) If adjustable, lowest setting.",1740 mm (68.5 inches),9.8:1,6-speed,Titan performance clutch,7.46 litres/100 km (13.4 km/l or 31.53 mpg),173.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,294.8 kg (650.0 pounds),0.3799 HP/kg,,,,102 mm (4.0 inches),17.41 litres (4.60 US gallons),,,,292 mm (11.5 inches),4.16 litres (1.10 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200,2006,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",,,79.0 x 59.4 mm (3.1 x 2.3 inches),Carburettor.  Keihin CVKD36 x 4,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,Chain   (final drive),Double-cradle tubular steel,25.0°,43mm cartridge-type fork with preload adjustment and 12-way adjustable compression and rebound damping,"Raced swingarm with twin shocks, five-way adjustable preload and four-way adjustable compression and rebound damping",120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,,1466 mm (57.7 inches),10.1:1,5-speed,|,,,,102 mm (4.0 inches),,,223.2 kg (492.0 pounds),,,,,,,,Electric,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 R,2006,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",160.9 HP (117.5  kW)) @ 10250 RPM,127.0 Nm (12.9 kgf-m or 93.7 ft.lbs) @ 8250 RPM,79.0 x 59.0 mm (3.1 x 2.3 inches),Injection.  Electronic intake pipe injection / digital engine management including knock sensor (BMS-K),,,,Liquid,Shaft drive (cardan)   (final drive),"Bridging frame, die-cast aluminium, load bearing engine",29.0°,BMW Motorrad Duolever,Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever,120/70-ZR17 ,180/50-ZR17 ,Double disc,Single disc,"820 mm (32.3 inches) If adjustable, lowest setting.",1580 mm (62.2 inches),13.0:1,6-speed,"Multiple-disc clutch in oil bath, hydraulically operated",4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,101 mm (4.0 inches),115 mm (4.5 inches),135 mm (5.3 inches),211.0 kg (465.2 pounds),0.7627 HP/kg,1230 mm (48.4 inches),2228 mm (87.7 inches),856 mm (33.7 inches),,19.00 litres (5.02 US gallons),,,,265 mm (10.4 inches),,4,,237.0 kg (522.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield GT 500 Cafe Racer,2006,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5400 RPM,,84.0 x 90.0 mm (3.3 x 3.5 inches),,Overhead Valves (OHV),,Dry sump,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,5-speed,Mulitiplate,,,,,,,,,,,,,14.50 litres (3.83 US gallons),,Electric & kick,,,,,,,125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Dirty Devil 50,2006,"Minibike, cross"," 2.7  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,Air,Belt   (final drive),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),"600 mm (23.6 inches) If adjustable, lowest setting.",,,Automatic,,,,,,,,101.0 kg (222.7 pounds),,,,,,16.00 litres (4.23 US gallons),,,Great kiddies garden/field bike. ,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FMX 650,2006,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",37.1 HP (27.1  kW)) @ 5750 RPM,52.3 Nm (5.3 kgf-m or 38.6 ft.lbs) @ 4500 RPM,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,Single Overhead Cams (SOHC),Fully transistorised electronic,,Air,Chain   (final drive),,,,,,,Single disc,Expanding brake (drum brake),"875 mm (34.4 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),8.3:1,5-speed,"Wet, multiplate with coil springs",,,,97 mm (3.8 inches),,,163.0 kg (359.4 pounds),0.2279 HP/kg,,,,216 mm (8.5 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamo Aero GTX 50,2006,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.5 HP (2.6  kW)) @ 8000 RPM,,,,,,,Air,Shaft drive (cardan)   (final drive),,,Kymco Front Dual Shock,Rear Dual Shock,,-1 ,Double disc. ABS,Double disc. ABS,"737 mm (29.0 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),,,,,,Guages:,,,,112.9 kg (249.0 pounds),0.0310 HP/kg,1168 mm (46.0 inches),1854 mm (73.0 inches),660 mm (26.0 inches),,7.57 litres (2.00 US gallons),,Electric & kick,,,,,,,48.3 km/h (30.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Rev 3 270,2006,Trial," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",274.5 ccm (16.75 cubic inches),"Single cylinder, two-stroke",,,76.0 x 60.5 mm (3.0 x 2.4 inches),Carburettor. Mikuni VM26/208,,,,Liquid,,Aluminium,,Hydraulic fork,Monoshock,,,Single disc,Single disc,,1310 mm (51.6 inches),10.6:1,6-speed,,,,,,165 mm (6.5 inches),175 mm (6.9 inches),72.0 kg (158.7 pounds),,1120 mm (44.1 inches),1990 mm (78.3 inches),850 mm (33.5 inches),310 mm (12.2 inches),3.20 litres (0.85 US gallons),,,,175 mm (6.9 inches),1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio Zip 50,2006,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",,,40.0 x 39.3 mm (1.6 x 1.5 inches),,,Inductive,Wet sump,Air,Belt   (final drive),,,Telescopic fork,Hydraulic shock absopber,100/80-10 ,120/70-10 ,Single disc,Expanding brake (drum brake),,1215 mm (47.8 inches),,Automatic,Dry automatic centrifugal type,,,,,,,86.0 kg (189.6 pounds),,,,,,7.50 litres (1.98 US gallons),,Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 125,2006,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,63.5 Nm (6.5 kgf-m or 46.8 ft.lbs) @ 7400 RPM,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor,,CDI,,Liquid,,Aluminium,,Upside down telescopic hydraulic fork,Sachs progressive with hydraulic shock absorbers,,,Single disc,Single disc,"775 mm (30.5 inches) If adjustable, lowest setting.",1374 mm (54.1 inches),11.5:1,6-speed,,,,,,120 mm (4.7 inches),,125.0 kg (275.6 pounds),0.5600 HP/kg,,1979 mm (77.9 inches),,175 mm (6.9 inches),,"Rosso Cagiva, Bat Black",Electric,,230 mm (9.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 450 E,2006,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.2 ccm (27.41 cubic inches),"Single cylinder, four-stroke",,,100.0 x 57.2 mm (3.9 x 2.3 inches),Carburettor. Keihin MX FCR 41 TPS,Overhead Cams (OHC),,"Pressure circulation, trochoit oil pump",Liquid,,25 CrMo 4 tempered,,WP USD 4860MA HUSABERG SUPERMOTO,WP 5018 DCC PDS HUSABERG SUPERMOTO,120/70-21 ,150/60-17 ,"Single disc. FTE four-piston radial mounted floating caliper, stainless steel","Single disc. Brembo single-piston floating caliper, stainless steel","890 mm (35.0 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),13.0:1,6-speed,"Wet multi-disc clutch, operated hydraulically",,,"2-into-1, twin manifold/nickel-plated, aluminium rear muffler",,275 mm (10.8 inches),288 mm (11.3 inches),109.0 kg (240.3 pounds),,,,,320 mm (12.6 inches),9.00 litres (2.38 US gallons),,Electric & kick,,220 mm (8.7 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO T-Rex 125,2006,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",95.2 HP (69.5  kW)) @ 7500 RPM,9.1 Nm (0.9 kgf-m or 6.7 ft.lbs) @ 6250 RPM,51.5 x 60.0 mm (2.0 x 2.4 inches),Carburettor,,CDI,,Air,,,,Telescopic,"4-Bar Linkage, Uni-Absorber",,,Single disc,Expanding brake (drum brake),,1284 mm (50.6 inches),9.4:1,Automatic,"Dry Style, Centrifugal Type",,,,,,,110.0 kg (242.5 pounds),0.8655 HP/kg,1286 mm (50.6 inches),1870 mm (73.6 inches),815 mm (32.1 inches),,6.70 litres (1.77 US gallons),"Silver, black, blue, red",Electric & kick,,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V Star Silverado,2006,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",,,81.0 x 63.0 mm (3.2 x 2.5 inches),Carburettor.  (2) 28mm Mikuni downdraft-type,Single Overhead Cams (SOHC),Digital TCI,,Air,Shaft drive (cardan)   (final drive),,,Telescopic fork,"Single shock, link-type, w/adjustable preload",130/90-16 ,170/80-15 ,Single disc,Expanding brake (drum brake),"709 mm (27.9 inches) If adjustable, lowest setting.",1626 mm (64.0 inches),9.0:1,5-speed,,,,,,140 mm (5.5 inches),99 mm (3.9 inches),246.8 kg (544.0 pounds),,,2451 mm (96.5 inches),,,15.89 litres (4.20 US gallons),,Electric,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Ape 100,2006,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",3.6 HP (2.6  kW)) @ 7000 RPM,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6500 RPM,53.0 x 45.0 mm (2.1 x 1.8 inches),Carburettor,Overhead Cams (OHC),CDI,,Air,,,,,,,,,,"755 mm (29.7 inches) If adjustable, lowest setting.",1190 mm (46.9 inches),9.2:1,5-speed,,,,,89 mm (3.5 inches),,,82.0 kg (180.8 pounds),0.0441 HP/kg,1155 mm (45.5 inches),,,,5.50 litres (1.45 US gallons),,Kick,Also vailable in as Ape 100 Deluxe.,,,,,87.0 kg (191.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda Pleasure,2006,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",102.0 ccm (6.22 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 7000 RPM,7.9 Nm (0.8 kgf-m or 5.8 ft.lbs) @ 5000 RPM,50.0 x 52.0 mm (2.0 x 2.0 inches),Carburettor,Overhead Cams (OHC),,,Air,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,Electric,,,,,,,77.0 km/h (47.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Highland DirtTrac,2006,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.0 ccm (45.70 cubic inches),"V2, four-stroke",83.8 HP (61.2  kW)) @ 7000 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 5000 RPM,95.0 x 53.0 mm (3.7 x 2.1 inches),Injection. Highland integrated engine management system with ignition coils fitted directly on the spark plugs,Double Overhead Cams/Twin Cam (DOHC),,Wet sump,Liquid,Chain   (final drive),"Rectangular section, CrMo steel and aluminum (7021-T6) swing arm",25.0°,Showa,Pensky,120/70-17 ,160/60-17 ,Single disc. Bremo,Single disc. Bremo,"720 mm (28.3 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),11.5:1,6-speed,,,,,,,,129.0 kg (284.4 pounds),0.6497 HP/kg,,,,,8.50 litres (2.25 US gallons),,Electric,,260 mm (10.2 inches),,4,,,200.0 km/h (124.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBF 150,2006,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",149.2 ccm (9.10 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 8000 RPM,12.7 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 5250 RPM,,Carburettor,Single Overhead Cams (SOHC),CDI,,Air,Chain   (final drive),diamond/stressed member,,,Monoshock,,,Single disc,Expanding brake (drum brake),,1335 mm (52.6 inches),9.1:1,5-speed,,,,,,,,130.0 kg (286.6 pounds),0.1135 HP/kg,1135 mm (44.7 inches),2075 mm (81.7 inches),750 mm (29.5 inches),,13.00 litres (3.43 US gallons),,Electric,"Varies on country, India, Turkey adn China have different versions with slight differences",,,2,,,115.0 km/h (71.5 mph),,,,,,,,,,9000,,,,,,,,,,,,,,,,
Highland Allroad,2006,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,936.0 ccm (57.11 cubic inches),"V2, four-stroke",83.8 HP (61.2  kW)) @ 6500 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 4000 RPM,95.0 x 66.0 mm (3.7 x 2.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,Chain   (final drive),CrMo,26.0°,Marzocchi.,Öhlins,,,Single disc. Bremo,Single disc. Bremo,"720 mm (28.3 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),11.1:1,6-speed,,,,,,280 mm (11.0 inches),280 mm (11.0 inches),164.0 kg (361.6 pounds),0.5110 HP/kg,,,,,20.00 litres (5.28 US gallons),,Electric,,260 mm (10.2 inches),,4,,,200.0 km/h (124.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Nexus 500,2006,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",460.0 ccm (28.07 cubic inches),"Single cylinder, four-stroke",40.1 HP (29.3  kW)),43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 5500 RPM,92.0 x 69.0 mm (3.6 x 2.7 inches),Carburettor,Single Overhead Cams (SOHC),"Electronic inductive discharge, variable spark advance controlled by electronic injection",Wet sump,Liquid,Belt   (final drive),,,Kayaba telehydraulic fork,"Progressive power drive, Kayaba gas shock absorber with spring preload",120/70-15 ,160/60-14 ,Double disc,Single disc,"780 mm (30.7 inches) If adjustable, lowest setting.",1515 mm (59.6 inches),10.5:1,Automatic,Automatic dry centrifuge type,,,Two-way catalytic converter,,41 mm (1.6 inches),,101.0 kg (222.7 pounds),0.3972 HP/kg,,2090 mm (82.3 inches),,,15.00 litres (3.96 US gallons),,Electric,,240 mm (9.4 inches),,,,216.0 kg (476.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi DRD Racing 50 SM,2006,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",8.5 HP (6.2  kW)),,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor.  Dell´Ortho,,,,Liquid,Chain   (final drive),,,"Conventional hydraulic fork, 40 mm",Progressive single absorber,100/80-17 ,130/70-17 ,Single disc,Single disc,,1400 mm (55.1 inches),,6-speed,Multiplate,,,,,195 mm (7.7 inches),180 mm (7.1 inches),,,,2050 mm (80.7 inches),805 mm (31.7 inches),,,"Blue, Read, Black",Kick,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 675,2006,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",675.0 ccm (41.19 cubic inches),"In-line three, four-stroke",125.0 HP (91.2  kW)) @ 12500 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 11750 RPM,74.0 x 52.3 mm (2.9 x 2.1 inches),Injection.  Multipoint sequential electronic fuel injection with forced air induction,Double Overhead Cams/Twin Cam (DOHC),Digital - inductive type - via electronic engine management system,,Liquid,Chain   (final drive),Aluminum beam twin spar,23.5°,41mm USD forks with adjustable preload. rebound and compression damping,Monoshock with piggy back reservoir adjustable for preload. rebound and compression damping,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,"825 mm (32.5 inches) If adjustable, lowest setting.",1392 mm (54.8 inches),12.7:1,6-speed,Wet. multi-plate,,,,,,,,,1109 mm (43.7 inches),2010 mm (79.1 inches),673 mm (26.5 inches),,17.40 litres (4.60 US gallons),Scorched Yellow. Tornado Red. Graphite,Electric,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 0.8,2006,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,79.0 ccm (4.82 cubic inches),"Single cylinder, two-stroke",,,44.4 x 50.6 mm (1.7 x 2.0 inches),Carburettor.  Dellorto,,Leonelli progressive electronic ignition and balanced                magnetic flywheel,Unleaded gasoline and 2 % oil pre-mix. Nikasil coated                cylinder treatment,Liquid,,Deltabox type made in Chrome-molybdenum. Chromed finish,,Hydraulic telescopic fork. Travel: 110 mm,Ollé monoshock,,,Expanding brake (drum brake),Expanding brake (drum brake),"510 mm (20.1 inches) If adjustable, lowest setting.",1320 mm (52.0 inches),,5-speed,"Hydraulic, multidisc in oil bath",,,Steel pipe with single aluminium muffler integrated                in the body,,,,66.0 kg (145.5 pounds),,,,,275 mm (10.8 inches),2.30 litres (0.61 US gallons),,Kick,Intended for kids. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Four,2006,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 11750 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 10500 RPM,68.0 x 41.3 mm (2.7 x 1.6 inches),Injection.  Multipoint sequential electronic fuel injection with forced air induction,Double Overhead Cams/Twin Cam (DOHC),Digital - inductive type - via electronic engine management system,,Liquid,Chain   (final drive),Aluminium beam perimeter,24.6°,43 mm forks with dual rate springs and adjustable preload. compression and rebound damping,Monoshock with adjustable preload. rebound and compression damping,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,"810 mm (31.9 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),12.5:1,6-speed,Wet. multi-plate,,,,,,,170.0 kg (374.8 pounds),0.5765 HP/kg,1110 mm (43.7 inches),2165 mm (85.2 inches),690 mm (27.2 inches),,,"Jet Black, Racing Yellow, Tornado Red",,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
